,MIDI Note,Note,Octave,time,value
487731,51,D#,4,3810,0.17575496572197832
487732,52,E,4,3810,0.1777507929110695
487733,53,F,4,3810,0.14516578364426616
487738,58,A#,4,3810,0.1296104380491681
487739,59,B,4,3810,0.38101762142976436
487740,60,C,5,3810,0.470568795573098
487741,61,C#,5,3810,0.3429967709366846
487742,62,D,5,3810,0.21938128557015596
487744,64,E,5,3810,0.1276779283403133
487745,65,F,5,3810,0.182150906865583
487748,68,G#,5,3810,0.15253064505186142
487749,69,A,5,3810,0.13152506328647875
487752,72,C,6,3810,0.11431803352224476
487753,73,C#,6,3810,0.20137868354636765
487754,74,D,6,3810,0.1498961429634379
487755,75,D#,6,3810,0.12013878884224233
487842,34,A#,2,3811,0.14563494511683586
487843,35,B,2,3811,0.14847501287924875
487845,37,C#,3,3811,0.3563194480091797
487846,38,D,3,3811,0.5337908909411931
487847,39,D#,3,3811,0.37049258408943825
487848,40,E,3,3811,0.11432310869324012
487849,41,F,3,3811,0.11041430299062245
487850,42,F#,3,3811,0.16165668268250255
487851,43,G,3,3811,0.19148237772378754
487853,45,A,3,3811,0.11747563543551838
487854,46,A#,3,3811,0.10309891771099687
487855,47,B,3,3811,0.1481412913333977
487858,50,D,4,3811,0.1627032425027391
487859,51,D#,4,3811,0.23580544226789543
487861,53,F,4,3811,0.10821663446538918
487863,55,G,4,3811,0.11143462490738185
487864,56,G#,4,3811,0.12099744869979948
487865,57,A,4,3811,0.16810161959516168
487866,58,A#,4,3811,0.308774270194771
487867,59,B,4,3811,0.38279291462826676
487868,60,C,5,3811,0.3335935849949691
487869,61,C#,5,3811,0.24388621527086643
487870,62,D,5,3811,0.1439620860950317
487873,65,F,5,3811,0.12857544606270077
487874,66,F#,5,3811,0.1477175444315684
487875,67,G,5,3811,0.12847108692092007
487876,68,G#,5,3811,0.21756856426803675
487877,69,A,5,3811,0.22298885210209443
487883,75,D#,6,3811,0.17523352257820587
487884,76,E,6,3811,0.18976353914561353
487907,99,D#,8,3811,0.12199852945036042
487969,33,A,2,3812,0.10559584624092672
487970,34,A#,2,3812,0.163581144121269
487971,35,B,2,3812,0.14712429226215537
487973,37,C#,3,3812,0.33841487170527673
487974,38,D,3,3812,0.5325100229663429
487975,39,D#,3,3812,0.39236824505156065
487976,40,E,3,3812,0.14483732192876955
487978,42,F#,3,3812,0.12874532919182377
487979,43,G,3,3812,0.15779193621835
487980,44,G#,3,3812,0.14531902667117802
487981,45,A,3,3812,0.1495242847253274
487982,46,A#,3,3812,0.1747292240576376
487983,47,B,3,3812,0.12505221731770555
487986,50,D,4,3812,0.14232080573705205
487987,51,D#,4,3812,0.2132031198094437
487988,52,E,4,3812,0.1295138518334055
487989,53,F,4,3812,0.16551206033790777
487990,54,F#,4,3812,0.1755982513385788
487993,57,A,4,3812,0.15405132554793566
487994,58,A#,4,3812,0.2890863981617906
487995,59,B,4,3812,0.23037811917595835
487996,60,C,5,3812,0.13551183028074362
487997,61,C#,5,3812,0.12984837393673618
488001,65,F,5,3812,0.12656541618555037
488002,66,F#,5,3812,0.10828272267497197
488005,69,A,5,3812,0.13782046247553548
488006,70,A#,5,3812,0.15454019028150887
488007,71,B,5,3812,0.13504724599666654
488008,72,C,6,3812,0.17151792338803198
488009,73,C#,6,3812,0.11722363504143636
488011,75,D#,6,3812,0.16183600805155463
488012,76,E,6,3812,0.347586051333995
488013,77,F,6,3812,0.26747328553466315
488014,78,F#,6,3812,0.105984800119674
488097,33,A,2,3813,0.11235249653010349
488098,34,A#,2,3813,0.16960571316563253
488099,35,B,2,3813,0.14105163507129637
488101,37,C#,3,3813,0.31058267784131666
488102,38,D,3,3813,0.49076719772052335
488103,39,D#,3,3813,0.390077227011773
488104,40,E,3,3813,0.15591358485269713
488107,43,G,3,3813,0.10827487824344682
488108,44,G#,3,3813,0.1679339361726068
488109,45,A,3,3813,0.16655880550655727
488110,46,A#,3,3813,0.1858029646835912
488111,47,B,3,3813,0.12369949892333133
488114,50,D,4,3813,0.11171256945307229
488115,51,D#,4,3813,0.1705148339569308
488116,52,E,4,3813,0.14443651822935039
488117,53,F,4,3813,0.23421588263890653
488118,54,F#,4,3813,0.266364455307744
488119,55,G,4,3813,0.1320601163554753
488123,59,B,4,3813,0.27169084497194124
488124,60,C,5,3813,0.26626124853829675
488125,61,C#,5,3813,0.1495130244600534
488129,65,F,5,3813,0.13739903331411057
488130,66,F#,5,3813,0.16204178151385304
488140,76,E,6,3813,0.2581027290687281
488141,77,F,6,3813,0.26300732870894467
488225,33,A,2,3814,0.1165837108226139
488226,34,A#,2,3814,0.161810262324029
488227,35,B,2,3814,0.13677200448913418
488228,36,C,3,3814,0.10496983028880794
488229,37,C#,3,3814,0.2732345722606996
488230,38,D,3,3814,0.4208416335663066
488231,39,D#,3,3814,0.3544471839174294
488232,40,E,3,3814,0.15601371208607748
488236,44,G#,3,3814,0.1543645577048558
488237,45,A,3,3814,0.13490240319178443
488238,46,A#,3,3814,0.1601482367588823
488239,47,B,3,3814,0.12293898736276009
488243,51,D#,4,3814,0.10696654362238561
488245,53,F,4,3814,0.2156915244941137
488246,54,F#,4,3814,0.29887012151396697
488247,55,G,4,3814,0.23097322635972434
488248,56,G#,4,3814,0.18116637815997788
488249,57,A,4,3814,0.165249174469013
488250,58,A#,4,3814,0.17552298664322416
488251,59,B,4,3814,0.14320477086511588
488252,60,C,5,3814,0.11932107513117346
488253,61,C#,5,3814,0.1018530500052776
488254,62,D,5,3814,0.1063945958913845
488257,65,F,5,3814,0.16753484226472903
488260,68,G#,5,3814,0.17065511642933517
488261,69,A,5,3814,0.18263632431164942
488262,70,A#,5,3814,0.13765215553484864
488267,75,D#,6,3814,0.1636782867416559
488268,76,E,6,3814,0.2325558494701312
488269,77,F,6,3814,0.15434043371238265
488353,33,A,2,3815,0.11756475387913061
488354,34,A#,2,3815,0.14141437347771826
488355,35,B,2,3815,0.1347612494648856
488356,36,C,3,3815,0.11210442123746588
488357,37,C#,3,3815,0.2289351371989147
488358,38,D,3,3815,0.337036251684649
488359,39,D#,3,3815,0.28571660889007405
488360,40,E,3,3815,0.15718720361324612
488364,44,G#,3,3815,0.12058382326337826
488366,46,A#,3,3815,0.11736709998605542
488367,47,B,3,3815,0.10594991008872714
488373,53,F,4,3815,0.18873731155004073
488374,54,F#,4,3815,0.2067123798606938
488375,55,G,4,3815,0.14103089110359562
488376,56,G#,4,3815,0.17827521833103288
488377,57,A,4,3815,0.1702726666627675
488378,58,A#,4,3815,0.14143900215591534
488383,63,D#,5,3815,0.12215413298564257
488386,66,F#,5,3815,0.14682498640446065
488387,67,G,5,3815,0.13527479856810018
488388,68,G#,5,3815,0.10112893080479453
488481,33,A,2,3816,0.11451314243266388
488482,34,A#,2,3816,0.11240150336902567
488483,35,B,2,3816,0.12895732048995576
488485,37,C#,3,3816,0.18379548208495122
488486,38,D,3,3816,0.2507420487752804
488487,39,D#,3,3816,0.19951293116357394
488488,40,E,3,3816,0.15642424105214403
488501,53,F,4,3816,0.1709578032159409
488502,54,F#,4,3816,0.14211820344263482
488609,33,A,2,3817,0.10720380583350414
488611,35,B,2,3817,0.11442528987927024
488613,37,C#,3,3817,0.14613719153905969
488614,38,D,3,3817,0.17066148871421738
488615,39,D#,3,3817,0.11800345131098645
488616,40,E,3,3817,0.13668604384567085
488629,53,F,4,3817,0.15388800284595047
488630,54,F#,4,3817,0.16536433626770386
488741,37,C#,3,3818,0.12563897368194635
488742,38,D,3,3818,0.10786449491771972
