,MIDI Note,Note,Octave,time,value
1724,60,C,5,13,0.11817643249745495
1725,61,C#,5,13,0.1440689353427623
1728,64,E,5,13,0.16271179318118104
1729,65,F,5,13,0.1545613316644241
1730,66,F#,5,13,0.431614068146374
1731,67,G,5,13,0.46274791972424095
1732,68,G#,5,13,0.33078333049763264
1733,69,A,5,13,0.2813098876964635
1734,70,A#,5,13,0.33297043100765195
1735,71,B,5,13,0.4491133697116907
1736,72,C,6,13,0.495461968483257
1737,73,C#,6,13,0.394315132337496
1738,74,D,6,13,0.16952425662776455
1739,75,D#,6,13,0.17967207444747563
1740,76,E,6,13,0.37741432474115344
1741,77,F,6,13,0.1456047505115505
1742,78,F#,6,13,0.2713095908737559
1743,79,G,6,13,0.30339309429377004
1744,80,G#,6,13,0.13041921159136174
1840,48,C,4,14,0.10825629651888487
1847,55,G,4,14,0.1297097995866786
1852,60,C,5,14,0.1228568692796803
1853,61,C#,5,14,0.12903233877774958
1855,63,D#,5,14,0.15829474245915212
1856,64,E,5,14,0.27193801976025134
1857,65,F,5,14,0.4331234082614904
1858,66,F#,5,14,0.4881248002598315
1859,67,G,5,14,0.2232871435158815
1864,72,C,6,14,0.16918503032458623
1865,73,C#,6,14,0.17251787062962845
1968,48,C,4,15,0.11508603862562405
1975,55,G,4,15,0.14411745568161957
1976,56,G#,4,15,0.12178468810519512
1983,63,D#,5,15,0.1092951724771917
1985,65,F,5,15,0.110172606936476
1986,66,F#,5,15,0.15267827148827282
2103,55,G,4,16,0.10451977552519612
2104,56,G#,4,16,0.10843627143626036
3503,47,B,3,27,0.11817419078171773
3504,48,C,4,27,0.13344576294399185
3505,49,C#,4,27,0.13511060115859364
3506,50,D,4,27,0.1197598102662888
3631,47,B,3,28,0.11090636925743144
3632,48,C,4,28,0.143170476565814
3633,49,C#,4,28,0.14833461431181139
3634,50,D,4,28,0.11588855306047954
3760,48,C,4,29,0.11037044067341463
3761,49,C#,4,29,0.11318676233473271
5559,55,G,4,43,0.10131775584622633
5563,59,B,4,43,0.10231126038188643
5564,60,C,5,43,0.12235521152026099
5565,61,C#,5,43,0.11106617113853075
5566,62,D,5,43,0.10411414328153572
5567,63,D#,5,43,0.17473253967071073
5568,64,E,5,43,0.281842804750001
5569,65,F,5,43,0.21358294998237567
5571,67,G,5,43,0.24473810840491306
5572,68,G#,5,43,0.618039475912611
5573,69,A,5,43,0.7243906224937917
5574,70,A#,5,43,0.49382253957391187
5575,71,B,5,43,0.3429844364481176
5576,72,C,6,43,0.14664547560589908
5579,75,D#,6,43,0.14550870122719411
5580,76,E,6,43,0.20347488848142314
5581,77,F,6,43,0.21012389428125638
5582,78,F#,6,43,0.28412016724063105
5583,79,G,6,43,0.33324123635369196
5584,80,G#,6,43,0.15245374235420792
5586,82,A#,6,43,0.10963791782299849
5587,83,B,6,43,0.11655833959330218
5593,89,F,7,43,0.17780031751611414
5594,90,F#,7,43,0.1480076080097563
5679,47,B,3,44,0.12522924874562189
5680,48,C,4,44,0.10509751418813329
5686,54,F#,4,44,0.11314973039842474
5687,55,G,4,44,0.1970051280798813
5688,56,G#,4,44,0.1647436990576922
5691,59,B,4,44,0.13278631435468527
5692,60,C,5,44,0.2014550544587149
5693,61,C#,5,44,0.1021520029411416
5696,64,E,5,44,0.25670705688825207
5697,65,F,5,44,0.19715363467514596
5698,66,F#,5,44,0.19667151637922506
5699,67,G,5,44,0.13201484739268438
5700,68,G#,5,44,0.372944446070425
5701,69,A,5,44,0.5198996665980038
5702,70,A#,5,44,0.7270197358001652
5703,71,B,5,44,0.7836799794038687
5704,72,C,6,44,0.620378737186689
5705,73,C#,6,44,0.4050779805712308
5706,74,D,6,44,0.38502409063943266
5707,75,D#,6,44,0.40678267168751125
5708,76,E,6,44,0.3643117994389398
5709,77,F,6,44,0.35766503954104495
5710,78,F#,6,44,0.46844117196585766
5711,79,G,6,44,0.13770430116390334
5712,80,G#,6,44,0.2965331998715259
5713,81,A,6,44,0.15490192929780808
5715,83,B,6,44,0.12923422844249496
5718,86,D,7,44,0.11987623087108859
5720,88,E,7,44,0.12761953432432457
5721,89,F,7,44,0.5454470963428482
5722,90,F#,7,44,0.6302682200634059
5723,91,G,7,44,0.31828372667636473
5726,94,A#,7,44,0.15691433025772802
5727,95,B,7,44,0.11401924329909395
5728,96,C,8,44,0.2781622865102885
5729,97,C#,8,44,0.37737391952495064
5730,98,D,8,44,0.21825675918684073
5731,99,D#,8,44,0.1311495235797487
5803,43,G,3,45,0.10883726227561834
5806,46,A#,3,45,0.11686858022256562
5807,47,B,3,45,0.14939189560887195
5808,48,C,4,45,0.11597853237840787
5814,54,F#,4,45,0.18225556196871592
5815,55,G,4,45,0.2606905931271226
5816,56,G#,4,45,0.18095957471167015
5820,60,C,5,45,0.18998959770706436
5821,61,C#,5,45,0.1785747845215255
5822,62,D,5,45,0.14224677927574725
5823,63,D#,5,45,0.20681508689500588
5824,64,E,5,45,0.1700362487959027
5827,67,G,5,45,0.12514554635505432
5828,68,G#,5,45,0.12254197066188134
5829,69,A,5,45,0.10992025305004212
5830,70,A#,5,45,0.12960608121149722
5831,71,B,5,45,0.13731687177028035
5833,73,C#,6,45,0.1218519307011956
5834,74,D,6,45,0.1166431722515574
5836,76,E,6,45,0.11922004644604002
5849,89,F,7,45,0.2148721536779017
5850,90,F#,7,45,0.17901565555930232
5856,96,C,8,45,0.11846406561685335
5857,97,C#,8,45,0.10061217954645105
5930,42,F#,3,46,0.1053821214063803
5931,43,G,3,46,0.11862275955993837
