,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,octave,note_value,note_value_nmd,note_name,angle
10320,8.0,,,,79.0,,,,,52,note_on,,88.0,79.0,88.0,1104,2.875,192,6.0,7.0,1,C#,210
3297,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,1152,3.0,192,4.0,11.0,5,F,330
3298,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,1152,3.0,192,4.0,7.0,1,C#,210
3299,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,1152,3.0,192,5.0,2.0,2,D,60
9944,3.0,,,,74.0,,,,,52,note_on,,88.0,74.0,88.0,1200,3.125,192,6.0,2.0,2,D,60
10322,8.0,,,,74.0,,,,,52,note_on,,88.0,74.0,88.0,1200,3.125,192,6.0,2.0,2,D,60
3305,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,1248,3.25,192,4.0,7.0,1,C#,210
3303,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,1248,3.25,192,4.0,11.0,5,F,330
3304,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,1248,3.25,192,5.0,2.0,2,D,60
9946,3.0,,,,79.0,,,,,52,note_on,,44.0,79.0,44.0,1296,3.375,192,6.0,7.0,1,C#,210
10324,8.0,,,,79.0,,,,,52,note_on,,44.0,79.0,44.0,1296,3.375,192,6.0,7.0,1,C#,210
3309,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,1344,3.5,192,4.0,11.0,5,F,330
3310,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,1344,3.5,192,5.0,2.0,2,D,60
3311,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,1344,3.5,192,4.0,7.0,1,C#,210
9948,3.0,,,,74.0,,,,,52,note_on,,44.0,74.0,44.0,1392,3.625,192,6.0,2.0,2,D,60
10326,8.0,,,,74.0,,,,,52,note_on,,44.0,74.0,44.0,1392,3.625,192,6.0,2.0,2,D,60
3317,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,1440,3.75,192,4.0,11.0,5,F,330
3315,0.0,,,,62.0,,,,,52,note_on,,100.0,62.0,100.0,1440,3.75,192,5.0,2.0,2,D,60
3316,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,1440,3.75,192,4.0,7.0,1,C#,210
9950,3.0,,,,79.0,,,,,52,note_on,,22.0,79.0,22.0,1488,3.875,192,6.0,7.0,1,C#,210
10328,8.0,,,,79.0,,,,,52,note_on,,22.0,79.0,22.0,1488,3.875,192,6.0,7.0,1,C#,210
3323,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,1536,4.0,192,4.0,9.0,3,D#,270
3321,0.0,,,,53.0,,,,,52,note_on,,100.0,53.0,100.0,1536,4.0,192,4.0,5.0,11,B,150
3322,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,1536,4.0,192,5.0,0.0,0,C,0
9952,3.0,,,,74.0,,,,,52,note_on,,22.0,74.0,22.0,1584,4.125,192,6.0,2.0,2,D,60
10330,8.0,,,,74.0,,,,,52,note_on,,22.0,74.0,22.0,1584,4.125,192,6.0,2.0,2,D,60
3328,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,1632,4.25,192,5.0,0.0,0,C,0
3329,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,1632,4.25,192,4.0,9.0,3,D#,270
3327,0.0,,,,53.0,,,,,52,note_on,,100.0,53.0,100.0,1632,4.25,192,4.0,5.0,11,B,150
10332,8.0,,,,69.0,,,,,100,note_on,,88.0,69.0,88.0,1728,4.5,192,5.0,9.0,3,D#,270
3333,0.0,,,,57.0,,,,,52,note_on,,100.0,57.0,100.0,1728,4.5,192,4.0,9.0,3,D#,270
3334,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,1728,4.5,192,4.0,5.0,11,B,150
3335,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,1728,4.5,192,5.0,0.0,0,C,0
9954,3.0,,,,69.0,,,,,100,note_on,,88.0,69.0,88.0,1728,4.5,192,5.0,9.0,3,D#,270
9956,3.0,,,,65.0,,,,,4,note_on,,88.0,65.0,88.0,1776,4.625,192,5.0,5.0,11,B,150
10334,8.0,,,,65.0,,,,,4,note_on,,88.0,65.0,88.0,1776,4.625,192,5.0,5.0,11,B,150
3341,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,1824,4.75,192,5.0,0.0,0,C,0
3340,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,1824,4.75,192,4.0,9.0,3,D#,270
3339,0.0,,,,53.0,,,,,52,note_on,,100.0,53.0,100.0,1824,4.75,192,4.0,5.0,11,B,150
10336,8.0,,,,77.0,,,,,52,note_on,,88.0,77.0,88.0,1872,4.875,192,6.0,5.0,11,B,150
9958,3.0,,,,77.0,,,,,52,note_on,,88.0,77.0,88.0,1872,4.875,192,6.0,5.0,11,B,150
3346,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,1920,5.0,192,4.0,9.0,3,D#,270
3347,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,1920,5.0,192,4.0,5.0,11,B,150
3345,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,1920,5.0,192,5.0,0.0,0,C,0
9960,3.0,,,,72.0,,,,,52,note_on,,88.0,72.0,88.0,1968,5.125,192,6.0,0.0,0,C,0
10338,8.0,,,,72.0,,,,,52,note_on,,88.0,72.0,88.0,1968,5.125,192,6.0,0.0,0,C,0
3352,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,2016,5.25,192,4.0,9.0,3,D#,270
3353,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,2016,5.25,192,4.0,5.0,11,B,150
3351,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,2016,5.25,192,5.0,0.0,0,C,0
9962,3.0,,,,77.0,,,,,52,note_on,,44.0,77.0,44.0,2064,5.375,192,6.0,5.0,11,B,150
10340,8.0,,,,77.0,,,,,52,note_on,,44.0,77.0,44.0,2064,5.375,192,6.0,5.0,11,B,150
3358,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,2112,5.5,192,5.0,0.0,0,C,0
3359,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,2112,5.5,192,4.0,9.0,3,D#,270
3357,0.0,,,,53.0,,,,,52,note_on,,100.0,53.0,100.0,2112,5.5,192,4.0,5.0,11,B,150
9964,3.0,,,,72.0,,,,,52,note_on,,44.0,72.0,44.0,2160,5.625,192,6.0,0.0,0,C,0
10342,8.0,,,,72.0,,,,,52,note_on,,44.0,72.0,44.0,2160,5.625,192,6.0,0.0,0,C,0
3363,0.0,,,,48.0,,,,,52,note_on,,100.0,48.0,100.0,2208,5.75,192,4.0,0.0,0,C,0
9966,3.0,,,,77.0,,,,,52,note_on,,22.0,77.0,22.0,2256,5.875,192,6.0,5.0,11,B,150
10344,8.0,,,,77.0,,,,,52,note_on,,22.0,77.0,22.0,2256,5.875,192,6.0,5.0,11,B,150
3366,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,2304,6.0,192,5.0,4.0,4,E,120
3367,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,2304,6.0,192,4.0,7.0,1,C#,210
3365,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,2304,6.0,192,5.0,0.0,0,C,0
9968,3.0,,,,72.0,,,,,52,note_on,,22.0,72.0,22.0,2352,6.125,192,6.0,0.0,0,C,0
10346,8.0,,,,72.0,,,,,52,note_on,,22.0,72.0,22.0,2352,6.125,192,6.0,0.0,0,C,0
3373,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,2400,6.25,192,5.0,0.0,0,C,0
3371,0.0,,,,64.0,,,,,52,note_on,,100.0,64.0,100.0,2400,6.25,192,5.0,4.0,4,E,120
3372,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,2400,6.25,192,4.0,7.0,1,C#,210
3377,0.0,,,,64.0,,,,,52,note_on,,100.0,64.0,100.0,2496,6.5,192,5.0,4.0,4,E,120
3378,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,2496,6.5,192,5.0,0.0,0,C,0
9970,3.0,,,,67.0,,,,,100,note_on,,88.0,67.0,88.0,2496,6.5,192,5.0,7.0,1,C#,210
3379,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,2496,6.5,192,4.0,7.0,1,C#,210
10348,8.0,,,,67.0,,,,,100,note_on,,88.0,67.0,88.0,2496,6.5,192,5.0,7.0,1,C#,210
9972,3.0,,,,64.0,,,,,4,note_on,,88.0,64.0,88.0,2544,6.625,192,5.0,4.0,4,E,120
10350,8.0,,,,64.0,,,,,4,note_on,,88.0,64.0,88.0,2544,6.625,192,5.0,4.0,4,E,120
