,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
2158,2.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,1273,1.3260416666666666,480,2.0_0.0,Distortion Guitar,3.0,7.0,1,C#,210
2218,4.0,,,,,,40.0,,,,,240,note_on,,95.0,40.0,95.0,1320,1.375,480,4.0_0.0,Electric Bass (pick),3.0,4.0,4,E,120
701,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,1440,1.5,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
700,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,1440,1.5,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
699,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,1440,1.5,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
2160,2.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,1513,1.5760416666666666,480,2.0_0.0,Distortion Guitar,3.0,7.0,1,C#,210
758,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,1680,1.75,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
757,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,1680,1.75,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
756,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,1680,1.75,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
2220,4.0,,,,,,38.0,,,,,240,note_on,,95.0,38.0,95.0,1680,1.75,480,4.0_0.0,Electric Bass (pick),3.0,2.0,2,D,60
2162,2.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,1753,1.8260416666666666,480,2.0_0.0,Distortion Guitar,3.0,7.0,1,C#,210
825,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,1920,2.0,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
826,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,1920,2.0,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
827,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,1920,2.0,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
2222,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,1920,2.0,480,4.0_0.0,Electric Bass (pick),3.0,0.0,0,C,0
2164,2.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,1993,2.076041666666667,480,2.0_0.0,Distortion Guitar,3.0,7.0,1,C#,210
883,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,2160,2.25,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
882,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,2160,2.25,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
884,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,2160,2.25,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
2166,2.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,2233,2.326041666666667,480,2.0_0.0,Distortion Guitar,3.0,7.0,1,C#,210
953,1.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,2400,2.5,480,1.0_0.0,Overdriven Guitar,4.0,4.0,4,E,120
952,1.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,2400,2.5,480,1.0_0.0,Overdriven Guitar,4.0,11.0,5,F,330
951,1.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,2400,2.5,480,1.0_0.0,Overdriven Guitar,5.0,4.0,4,E,120
2168,2.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,2473,2.576041666666667,480,2.0_0.0,Distortion Guitar,3.0,9.0,3,D#,270
