,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
678,0.0,,,,,,,,,,,,62.0,,,,,,,10,note_on,,60.0,62.0,60.0,2715,2.828125,480,0.0_0.0,Flute,5.0,2.0,2,D,60
352,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2715,2.828125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
477,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,2730,2.84375,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
692,0.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,2755,2.8697916666666665,480,0.0_0.0,Flute,5.0,7.0,1,C#,210
354,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2795,2.9114583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
756,0.0,,,,,,,,,,,,74.0,,,,,,,40,note_on,,60.0,74.0,60.0,2805,2.921875,480,0.0_0.0,Flute,6.0,2.0,2,D,60
498,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,2810,2.9270833333333335,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
497,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,2810,2.9270833333333335,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
779,0.0,,,,,,,,,,,,72.0,,,,,,,30,note_on,,60.0,72.0,60.0,2875,2.9947916666666665,480,0.0_0.0,Flute,6.0,0.0,0,C,0
356,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2875,2.9947916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
784,0.0,,,,,,,,,,,,71.0,,,,,,,0,note_on,,60.0,71.0,60.0,2915,3.0364583333333335,480,0.0_0.0,Flute,5.0,11.0,5,F,330
360,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,2915,3.0364583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
362,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,2995,3.1197916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
790,0.0,,,,,,,,,,,,69.0,,,,,,,0,note_on,,60.0,69.0,60.0,2995,3.1197916666666665,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
794,0.0,,,,,,,,,,,,71.0,,,,,,,0,note_on,,60.0,71.0,60.0,3035,3.1614583333333335,480,0.0_0.0,Flute,5.0,11.0,5,F,330
364,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,3075,3.203125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
798,0.0,,,,,,,,,,,,72.0,,,,,,,0,note_on,,60.0,72.0,60.0,3115,3.2447916666666665,480,0.0_0.0,Flute,6.0,0.0,0,C,0
369,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,3115,3.2447916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
517,13.0,,,,,,,,,,,,55.0,,,,,,,200,note_on,,60.0,55.0,60.0,3170,3.3020833333333335,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
371,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,3195,3.328125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
800,0.0,,,,,,,,,,,,74.0,,,,,,,0,note_on,,60.0,74.0,60.0,3235,3.3697916666666665,480,0.0_0.0,Flute,6.0,2.0,2,D,60
538,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,3250,3.3854166666666665,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
537,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,3250,3.3854166666666665,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
373,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,3275,3.4114583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
806,0.0,,,,,,,,,,,,72.0,,,,,,,0,note_on,,60.0,72.0,60.0,3315,3.453125,480,0.0_0.0,Flute,6.0,0.0,0,C,0
379,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,3315,3.453125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
810,0.0,,,,,,,,,,,,71.0,,,,,,,0,note_on,,60.0,71.0,60.0,3355,3.4947916666666665,480,0.0_0.0,Flute,5.0,11.0,5,F,330
575,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,3370,3.5104166666666665,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
383,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,3395,3.5364583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
822,0.0,,,,,,,,,,,,72.0,,,,,,,30,note_on,,60.0,72.0,60.0,3435,3.578125,480,0.0_0.0,Flute,6.0,0.0,0,C,0
826,0.0,,,,,,,,,,,,71.0,,,,,,,0,note_on,,60.0,71.0,60.0,3475,3.6197916666666665,480,0.0_0.0,Flute,5.0,11.0,5,F,330
385,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,3475,3.6197916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
831,0.0,,,,,,,,,,,,69.0,,,,,,,0,note_on,,60.0,69.0,60.0,3505,3.6510416666666665,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
836,0.0,,,,,,,,,,,,72.0,,,,,,,0,note_on,,60.0,72.0,60.0,3545,3.6927083333333335,480,0.0_0.0,Flute,6.0,0.0,0,C,0
387,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,3555,3.703125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
587,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,3570,3.71875,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
588,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,3570,3.71875,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
843,0.0,,,,,,,,,,,,71.0,,,,,,,0,note_on,,60.0,71.0,60.0,3575,3.7239583333333335,480,0.0_0.0,Flute,5.0,11.0,5,F,330
391,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,3595,3.7447916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
850,0.0,,,,,,,,,,,,69.0,,,,,,,0,note_on,,60.0,69.0,60.0,3615,3.765625,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
397,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,3635,3.7864583333333335,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
856,0.0,,,,,,,,,,,,65.0,,,,,,,0,note_on,,60.0,65.0,60.0,3645,3.796875,480,0.0_0.0,Flute,5.0,5.0,11,B,150
623,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,3650,3.8020833333333335,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
868,0.0,,,,,,,,,,,,65.0,,,,,,,35,note_on,,60.0,65.0,60.0,3685,3.8385416666666665,480,0.0_0.0,Flute,5.0,5.0,11,B,150
399,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,3715,3.8697916666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
873,0.0,,,,,,,,,,,,65.0,,,,,,,30,note_on,,60.0,65.0,60.0,3755,3.9114583333333335,480,0.0_0.0,Flute,5.0,5.0,11,B,150
403,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,3765,3.921875,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
640,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,3770,3.9270833333333335,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
639,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,3770,3.9270833333333335,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
409,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,3805,3.9635416666666665,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
878,0.0,,,,,,,,,,,,65.0,,,,,,,40,note_on,,60.0,65.0,60.0,3825,3.984375,480,0.0_0.0,Flute,5.0,5.0,11,B,150
417,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,3845,4.005208333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
425,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,3885,4.046875,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
431,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,3925,4.088541666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
679,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,3930,4.09375,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
433,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4005,4.171875,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
886,0.0,,,,,,,,,,,,69.0,,,,,,,40,note_on,,60.0,69.0,60.0,4025,4.192708333333333,480,0.0_1.0,Flute,5.0,9.0,3,D#,270
437,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4055,4.223958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
694,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,4090,4.260416666666667,480,13.0_1.0,Pizzicato Strings,5.0,7.0,1,C#,210
693,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,4090,4.260416666666667,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
443,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,4095,4.265625,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
447,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4175,4.348958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
449,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4255,4.432291666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
451,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4335,4.515625,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
455,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,4375,4.557291666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
713,13.0,,,,,,,,,,,,55.0,,,,,,,200,note_on,,60.0,55.0,60.0,4450,4.635416666666667,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
457,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4455,4.640625,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
459,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4535,4.723958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
466,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,4575,4.765625,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
725,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,4650,4.84375,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
726,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,4650,4.84375,480,13.0_1.0,Pizzicato Strings,5.0,7.0,1,C#,210
468,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4655,4.848958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
472,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4705,4.901041666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
479,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,4745,4.942708333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
487,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,4785,4.984375,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
757,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,4810,5.010416666666667,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
489,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4865,5.067708333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
493,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,4915,5.119791666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
499,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,4955,5.161458333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
770,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,5010,5.21875,480,13.0_1.0,Pizzicato Strings,5.0,7.0,1,C#,210
769,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,5010,5.21875,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
503,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5035,5.244791666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
505,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5115,5.328125,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
801,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,5170,5.385416666666667,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
507,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5195,5.411458333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
511,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,5235,5.453125,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
818,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,5290,5.510416666666667,480,13.0_1.0,Pizzicato Strings,5.0,7.0,1,C#,210
817,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,5290,5.510416666666667,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
515,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5315,5.536458333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
519,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,5355,5.578125,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
527,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,5395,5.619791666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
861,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,5410,5.635416666666667,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
529,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5475,5.703125,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
533,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5525,5.755208333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
539,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,5565,5.796875,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
879,13.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,5570,5.802083333333333,480,13.0_1.0,Pizzicato Strings,4.0,7.0,1,C#,210
880,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,5570,5.802083333333333,480,13.0_1.0,Pizzicato Strings,5.0,7.0,1,C#,210
547,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,5605,5.838541666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
549,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5685,5.921875,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
553,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5735,5.973958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
559,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,5775,6.015625,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
561,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5855,6.098958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
563,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,5935,6.182291666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
568,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,5975,6.223958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
570,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6055,6.307291666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
572,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6135,6.390625,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
577,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,6175,6.432291666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
581,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6255,6.515625,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
583,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6335,6.598958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
585,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6415,6.682291666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
589,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,6455,6.723958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
597,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,6495,6.765625,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
599,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6575,6.848958333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
603,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6625,6.901041666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
609,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,6665,6.942708333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
617,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,6705,6.984375,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
625,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,6745,7.026041666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
633,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,6785,7.067708333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
635,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6865,7.151041666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
637,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,6945,7.234375,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
641,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,6985,7.276041666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
647,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,7025,7.317708333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
649,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7105,7.401041666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
653,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7155,7.453125,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
659,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,7195,7.494791666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
661,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7275,7.578125,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
663,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7355,7.661458333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
670,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,7395,7.703125,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
672,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7475,7.786458333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
674,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7555,7.869791666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
681,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,7595,7.911458333333333,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
685,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7675,7.994791666666667,480,9.0_1.0,String Ensemble 1,3.0,4.0,4,E,120
687,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7755,8.078125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
689,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7835,8.161458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
695,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,7875,8.203125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
699,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,7955,8.286458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
701,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8035,8.369791666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
703,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8115,8.453125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
707,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,8155,8.494791666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
711,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8235,8.578125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
715,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,8275,8.619791666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
719,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8355,8.703125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
721,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8435,8.786458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
723,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8515,8.869791666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
727,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,8555,8.911458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
731,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8635,8.994791666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
733,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8715,9.078125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
735,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8795,9.161458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
739,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,8835,9.203125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
741,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,8915,9.286458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
744,9.0,,,,,,,,,,,,40.0,,,,,,,40,note_on,,10.0,40.0,10.0,8985,9.359375,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
749,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,9025,9.401041666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
751,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9105,9.484375,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
753,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9185,9.567708333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
759,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,9225,9.609375,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
