,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
412,0.0,,,,,,,,,,,,72.0,,,,,,,0,note_on,,60.0,72.0,60.0,705,0.734375,480,0.0_0.0,Flute,6.0,0.0,0,C,0
424,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,710,0.7395833333333334,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
262,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,715,0.7447916666666666,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
416,0.0,,,,,,,,,,,,71.0,,,,,,,0,note_on,,60.0,71.0,60.0,745,0.7760416666666666,480,0.0_0.0,Flute,5.0,11.0,5,F,330
478,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,750,0.78125,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
453,14.0,,,,,,,,,,,,43.0,,,,,,,40,note_on,,60.0,43.0,60.0,750,0.78125,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
454,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,750,0.78125,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
465,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,750,0.78125,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
509,14.0,,,,,,,,,,,,43.0,,,,,,,40,note_on,,60.0,43.0,60.0,790,0.8229166666666666,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
510,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,790,0.8229166666666666,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
266,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,795,0.828125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
420,0.0,,,,,,,,,,,,69.0,,,,,,,0,note_on,,60.0,69.0,60.0,825,0.859375,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
268,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,875,0.9114583333333334,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
