,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
303,2.0,,,,,,,52.0,,,,6,note_on,,100.0,52.0,100.0,3864,5.03125,384,2.0_1.0,Acoustic Grand Piano,4.0,4.0,4,E,120
304,2.0,,,,,,,71.0,,,,2,note_on,,104.0,71.0,104.0,3866,5.033854166666666,384,2.0_1.0,Acoustic Grand Piano,5.0,11.0,5,F,330
306,2.0,,,,,,,62.0,,,,12,note_on,,103.0,62.0,103.0,3878,5.049479166666666,384,2.0_1.0,Acoustic Grand Piano,5.0,2.0,2,D,60
307,2.0,,,,,,,57.0,,,,2,note_on,,90.0,57.0,90.0,3880,5.052083333333333,384,2.0_1.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
308,2.0,,,,,,,67.0,,,,2,note_on,,102.0,67.0,102.0,3882,5.0546875,384,2.0_1.0,Acoustic Grand Piano,5.0,7.0,1,C#,210
480,1.0,,,,,,,45.0,,,,2,note_on,,104.0,45.0,104.0,3898,5.075520833333333,384,1.0_1.0,Acoustic Bass,3.0,9.0,3,D#,270
485,1.0,,,,,,,47.0,,,,4,note_on,,106.0,47.0,106.0,3904,5.083333333333333,384,1.0_1.0,Acoustic Bass,3.0,11.0,5,F,330
516,9.0,,,,,,,46.0,,,,186,note_on,,74.0,46.0,74.0,4034,5.252604166666666,384,9.0_1.0,Violin,3.0,10.0,10,A#,300
488,1.0,,,,,,,48.0,,,,4,note_on,,106.0,48.0,106.0,4034,5.252604166666666,384,1.0_1.0,Acoustic Bass,4.0,0.0,0,C,0
492,1.0,,,,,,,50.0,,,,6,note_on,,114.0,50.0,114.0,4040,5.260416666666666,384,1.0_1.0,Acoustic Bass,4.0,2.0,2,D,60
525,9.0,,,,,,,39.0,,,,32,note_on,,85.0,39.0,85.0,4070,5.299479166666666,384,9.0_1.0,Violin,3.0,3.0,9,A,90
495,1.0,,,,,,,52.0,,,,6,note_on,,106.0,52.0,106.0,4070,5.299479166666666,384,1.0_1.0,Acoustic Bass,4.0,4.0,4,E,120
325,2.0,,,,,,,60.0,,,,14,note_on,,103.0,60.0,103.0,4076,5.307291666666666,384,2.0_1.0,Acoustic Grand Piano,5.0,0.0,0,C,0
326,2.0,,,,,,,65.0,,,,0,note_on,,107.0,65.0,107.0,4076,5.307291666666666,384,2.0_1.0,Acoustic Grand Piano,5.0,5.0,11,B,150
327,2.0,,,,,,,69.0,,,,0,note_on,,105.0,69.0,105.0,4076,5.307291666666666,384,2.0_1.0,Acoustic Grand Piano,5.0,9.0,3,D#,270
528,9.0,,,,,,,44.0,,,,8,note_on,,108.0,44.0,108.0,4082,5.315104166666666,384,9.0_1.0,Violin,3.0,8.0,8,G#,240
542,9.0,,,,,,,39.0,,,,2,note_on,,90.0,39.0,90.0,4088,5.322916666666666,384,9.0_1.0,Violin,3.0,3.0,9,A,90
328,2.0,,,,,,,50.0,,,,14,note_on,,102.0,50.0,102.0,4090,5.325520833333333,384,2.0_1.0,Acoustic Grand Piano,4.0,2.0,2,D,60
329,2.0,,,,,,,55.0,,,,2,note_on,,98.0,55.0,98.0,4092,5.328125,384,2.0_1.0,Acoustic Grand Piano,4.0,7.0,1,C#,210
339,2.0,,,,,,,52.0,,,,6,note_on,,105.0,52.0,105.0,4236,5.515625,384,2.0_1.0,Acoustic Grand Piano,4.0,4.0,4,E,120
