channel,instrument
0.0,Acoustic Guitar (nylon)
1.0,Acoustic Grand Piano
2.0,Acoustic Grand Piano
3.0,Acoustic Guitar (nylon)
4.0,Acoustic Bass
5.0,Electric Guitar (jazz)
