channel,instrument
0.0,Overdriven Guitar
1.0,Overdriven Guitar
2.0,Distortion Guitar
3.0,Distortion Guitar
4.0,Electric Bass (pick)
5.0,Electric Bass (pick)
9.0,Acoustic Grand Piano
