,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
0,,,,,,untitled,,,,,,0,track_name,,,,,0,0.0,120,nan_0.0,
1,,12.0,,8.0,,,8.0,,6.0,,,0,time_signature,,,,,10758,44.825,120,nan_11.0,
2,,,,,C,,,,,,,0,key_signature,,,,,140469562515968,585289843816.5333,120,nan_146322460954.0,
3,,,,,,,,,,,638298.0,0,set_tempo,,,,,10764,44.85,120,nan_11.0,
4,,,,,,,,,,,638298.0,49680,set_tempo,,,,,10756,44.81666666666666,120,nan_11.0,
5,,,,,,,,,,,645161.0,6,set_tempo,,,,,10757,44.82083333333333,120,nan_11.0,
6,,,,,,,,,,,652174.0,7,set_tempo,,,,,10758,44.825,120,nan_11.0,
7,,,,,,,,,,,659341.0,6,set_tempo,,,,,10759,44.829166666666666,120,nan_11.0,
8,,,,,,,,,,,666667.0,7,set_tempo,,,,,4553356304,18972317.933333334,120,nan_4743079.0,
9,,,,,,,,,,,674157.0,7,set_tempo,,,,,0,0.0,120,nan_0.0,
10,,,,,,,,,,,681818.0,6,set_tempo,,,,,12,0.05,120,nan_0.0,
11,,,,,,,,,,,689655.0,7,set_tempo,,,,,10763,44.84583333333333,120,nan_11.0,
12,,,,,,,,,,,697674.0,7,set_tempo,,,,,10764,44.85,120,nan_11.0,
13,,,,,,,,,,,705882.0,6,set_tempo,,,,,10765,44.854166666666664,120,nan_11.0,
14,,,,,,,,,,,714286.0,7,set_tempo,,,,,10766,44.858333333333334,120,nan_11.0,
15,,,,,,,,,,,722892.0,7,set_tempo,,,,,10767,44.8625,120,nan_11.0,
16,,,,,,,,,,,731707.0,6,set_tempo,,,,,10768,44.86666666666667,120,nan_11.0,
17,,,,,,,,,,,740741.0,7,set_tempo,,,,,10769,44.87083333333333,120,nan_11.0,
18,,,,,,,,,,,750000.0,7,set_tempo,,,,,4542320344,18926334.766666666,120,nan_4731583.0,
19,,,,,,,,,,,759494.0,6,set_tempo,,,,,0,0.0,120,nan_0.0,
20,,,,,,,,,,,769231.0,7,set_tempo,,,,,2,0.008333333333333333,120,nan_0.0,
21,,,,,,,,,,,779221.0,7,set_tempo,,,,,10773,44.8875,120,nan_11.0,
22,,,,,,,,,,,789474.0,6,set_tempo,,,,,10774,44.891666666666666,120,nan_11.0,
23,,,,,,,,,,,800000.0,7,set_tempo,,,,,10775,44.895833333333336,120,nan_11.0,
24,,,,,,,,,,,810811.0,6,set_tempo,,,,,10776,44.9,120,nan_11.0,
25,,,,,,,,,,,821918.0,7,set_tempo,,,,,10777,44.90416666666667,120,nan_11.0,
26,,,,,,,,,,,833333.0,7,set_tempo,,,,,10778,44.90833333333333,120,nan_11.0,
27,,,,,,,,,,,845070.0,6,set_tempo,,,,,10779,44.9125,120,nan_11.0,
28,,,,,,,,,,,857143.0,7,set_tempo,,,,,4542320384,18926334.933333334,120,nan_4731583.0,
29,,,,,,,,,,,869565.0,7,set_tempo,,,,,0,0.0,120,nan_0.0,
30,,,,,,,,,,,882353.0,6,set_tempo,,,,,3,0.0125,120,nan_0.0,
31,,,,,,,,,,,895522.0,7,set_tempo,,,,,10783,44.92916666666667,120,nan_11.0,
32,,,,,,,,,,,909091.0,7,set_tempo,,,,,10784,44.93333333333333,120,nan_11.0,
33,,,,,,,,,,,923077.0,6,set_tempo,,,,,10785,44.9375,120,nan_11.0,
34,,,,,,,,,,,937500.0,7,set_tempo,,,,,10786,44.94166666666666,120,nan_11.0,
35,,,,,,,,,,,952381.0,7,set_tempo,,,,,10787,44.94583333333333,120,nan_11.0,
36,,,,,,,,,,,967742.0,6,set_tempo,,,,,10788,44.95,120,nan_11.0,
37,,,,,,,,,,,983607.0,7,set_tempo,,,,,10789,44.954166666666666,120,nan_11.0,
38,,,,,,,,,,,1000000.0,7,set_tempo,,,,,4553356352,18972318.133333333,120,nan_4743079.0,
39,,,,,,,,,,,1016949.0,6,set_tempo,,,,,0,0.0,120,nan_0.0,
40,,,,,,,,,,,1034483.0,7,set_tempo,,,,,8,0.03333333333333333,120,nan_0.0,
41,,,,,,,,,,,1052632.0,6,set_tempo,,,,,10793,44.97083333333333,120,nan_11.0,
42,,,,,,,,,,,1071429.0,7,set_tempo,,,,,10794,44.975,120,nan_11.0,
43,,,,,,,,,,,1090909.0,7,set_tempo,,,,,10795,44.979166666666664,120,nan_11.0,
44,,,,,,,,,,,1111111.0,6,set_tempo,,,,,10796,44.983333333333334,120,nan_11.0,
45,,,,,,,,,,,1132075.0,7,set_tempo,,,,,10797,44.9875,120,nan_11.0,
46,,,,,,,,,,,1153846.0,7,set_tempo,,,,,10798,44.99166666666667,120,nan_11.0,
47,,,,,,,,,,,1176471.0,6,set_tempo,,,,,10799,44.99583333333333,120,nan_11.0,
48,,,,,,,,,,,1200000.0,7,set_tempo,,,,,4543008280,18929201.166666668,120,nan_4732300.0,
49,,,,,,,,,,,1224490.0,7,set_tempo,,,,,0,0.0,120,nan_0.0,
50,,,,,,,,,,,1250000.0,6,set_tempo,,,,,16,0.06666666666666667,120,nan_0.0,
51,,,,,,,,,,,1276596.0,7,set_tempo,,,,,10803,45.0125,120,nan_11.0,
52,,,,,,,,,,,1304348.0,7,set_tempo,,,,,10804,45.016666666666666,120,nan_11.0,
53,,,,,,,,,,,1333333.0,6,set_tempo,,,,,10805,45.020833333333336,120,nan_11.0,
54,,,,,,,,,,,1363636.0,7,set_tempo,,,,,10806,45.025,120,nan_11.0,
55,,,,,,,,,,,1395349.0,7,set_tempo,,,,,10807,45.02916666666667,120,nan_11.0,
56,,,,,,,,,,,1428571.0,6,set_tempo,,,,,10808,45.03333333333333,120,nan_11.0,
57,,,,,,,,,,,1463415.0,7,set_tempo,,,,,10809,45.0375,120,nan_11.0,
58,,,,,,,,,,,1500000.0,7,set_tempo,,,,,4542320424,18926335.1,120,nan_4731583.0,
59,,,,,,,,,,,638298.0,1,set_tempo,,,,,0,0.0,120,nan_0.0,
60,,,,,,,,,,,,0,end_of_track,,,,,2,0.008333333333333333,120,nan_0.0,
61,0.0,,,,,,,,,24.0,,0,program_change,,,,,0,0.0,120,0.0_0.0,Acoustic Guitar (nylon)
62,0.0,,7.0,,,,,,,,,0,control_change,111.0,,,,0,0.0,120,0.0_0.0,Acoustic Guitar (nylon)
63,0.0,,,,,,,55.0,,,,1380,note_on,,100.0,55.0,100.0,1380,5.75,120,0.0_1.0,Acoustic Guitar (nylon)
