,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb
63,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,4416,11.5,192
64,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,4416,11.5,192
65,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,4460,11.614583333333332,192
66,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,4460,11.614583333333332,192
67,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,4460,11.614583333333332,192
68,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,4512,11.75,192
69,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,4512,11.75,192
70,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,4556,11.864583333333332,192
71,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,4556,11.864583333333332,192
72,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,4560,11.875,192
73,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,4604,11.989583333333332,192
74,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,4608,12.0,192
75,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,4608,12.0,192
76,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,4652,12.114583333333332,192
77,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,4652,12.114583333333332,192
78,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4704,12.25,192
79,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,4748,12.364583333333332,192
80,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4800,12.5,192
81,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,4800,12.5,192
82,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,4800,12.5,192
83,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,4844,12.614583333333332,192
84,9.0,,,,40.0,,,,,0,note_on,,0.0,40.0,0.0,4844,12.614583333333332,192
85,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,4844,12.614583333333332,192
86,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4896,12.75,192
87,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,4940,12.864583333333332,192
88,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4992,13.0,192
89,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,4992,13.0,192
90,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,5036,13.114583333333332,192
91,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,5036,13.114583333333332,192
92,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,5088,13.25,192
93,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,5088,13.25,192
94,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,5132,13.364583333333332,192
95,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,5132,13.364583333333332,192
96,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,5184,13.5,192
97,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,5184,13.5,192
98,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5184,13.5,192
99,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,5228,13.614583333333332,192
100,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,5228,13.614583333333332,192
101,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,5228,13.614583333333332,192
102,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5280,13.75,192
103,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5280,13.75,192
104,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,5324,13.864583333333332,192
105,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,5324,13.864583333333332,192
106,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,5328,13.875,192
107,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,5372,13.989583333333332,192
108,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,5376,14.0,192
109,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5376,14.0,192
110,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,5420,14.114583333333332,192
111,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,5420,14.114583333333332,192
112,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5472,14.25,192
113,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,5516,14.364583333333332,192
114,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5568,14.5,192
115,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5568,14.5,192
116,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5568,14.5,192
117,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,5612,14.614583333333332,192
118,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,5612,14.614583333333332,192
119,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,5612,14.614583333333332,192
120,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5664,14.75,192
121,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,5708,14.864583333333332,192
122,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5760,15.0,192
123,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5760,15.0,192
124,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,5804,15.114583333333332,192
125,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,5804,15.114583333333332,192
126,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5856,15.25,192
127,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5856,15.25,192
128,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,5900,15.364583333333332,192
129,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,5900,15.364583333333332,192
130,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5952,15.5,192
131,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5952,15.5,192
132,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5952,15.5,192
133,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,5996,15.614583333333332,192
134,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,5996,15.614583333333332,192
135,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,5996,15.614583333333332,192
136,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,6048,15.75,192
137,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,6048,15.75,192
138,9.0,,,,51.0,,,,,44,note_on,,0.0,51.0,0.0,6092,15.864583333333332,192
139,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,6092,15.864583333333332,192
140,9.0,,,,40.0,,,,,436,note_on,,112.0,40.0,112.0,6528,17.0,192
141,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,6572,17.114583333333332,192
142,9.0,,,,48.0,,,,,4,note_on,,112.0,48.0,112.0,6576,17.125,192
143,9.0,,,,48.0,,,,,44,note_on,,0.0,48.0,0.0,6620,17.239583333333332,192
144,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,6672,17.375,192
145,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,6716,17.489583333333332,192
146,9.0,,,,40.0,,,,,4,note_on,,112.0,40.0,112.0,6720,17.5,192
147,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,6764,17.614583333333332,192
148,9.0,,,,36.0,,,,,52,note_on,,112.0,36.0,112.0,6816,17.75,192
149,9.0,,,,36.0,,,,,44,note_on,,0.0,36.0,0.0,6860,17.864583333333332,192
150,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,6912,18.0,192
151,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,6912,18.0,192
152,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,6956,18.114583333333332,192
153,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,6956,18.114583333333332,192
154,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7008,18.25,192
155,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,7052,18.364583333333332,192
156,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,7104,18.5,192
157,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7104,18.5,192
158,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,7104,18.5,192
159,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,7148,18.614583333333332,192
160,9.0,,,,40.0,,,,,0,note_on,,0.0,40.0,0.0,7148,18.614583333333332,192
161,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,7148,18.614583333333332,192
162,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7200,18.75,192
163,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,7244,18.864583333333332,192
164,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,7296,19.0,192
165,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7296,19.0,192
166,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,7340,19.114583333333332,192
167,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,7340,19.114583333333332,192
168,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7392,19.25,192
169,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,7392,19.25,192
170,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,7436,19.364583333333332,192
171,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,7436,19.364583333333332,192
172,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,7488,19.5,192
173,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,7488,19.5,192
174,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7488,19.5,192
175,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,7532,19.614583333333332,192
176,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,7532,19.614583333333332,192
177,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,7532,19.614583333333332,192
178,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7584,19.75,192
179,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,7584,19.75,192
180,9.0,,,,51.0,,,,,44,note_on,,0.0,51.0,0.0,7628,19.864583333333332,192
181,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,7628,19.864583333333332,192
182,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,7632,19.875,192
183,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,7676,19.989583333333332,192
184,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,7680,20.0,192
185,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7680,20.0,192
186,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,7724,20.114583333333332,192
187,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,7724,20.114583333333332,192
188,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7776,20.25,192
189,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,7820,20.364583333333332,192
190,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,7872,20.5,192
191,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,7872,20.5,192
192,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,7872,20.5,192
193,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,7916,20.614583333333332,192
194,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,7916,20.614583333333332,192
195,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,7916,20.614583333333332,192
196,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,7968,20.75,192
197,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,8012,20.864583333333332,192
198,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8064,21.0,192
199,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,8064,21.0,192
200,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,8108,21.114583333333332,192
201,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,8108,21.114583333333332,192
202,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8160,21.25,192
203,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,8160,21.25,192
204,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,8204,21.364583333333332,192
205,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,8204,21.364583333333332,192
206,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,8256,21.5,192
207,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,8256,21.5,192
208,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,8256,21.5,192
209,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,8300,21.614583333333332,192
210,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,8300,21.614583333333332,192
211,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,8300,21.614583333333332,192
212,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8352,21.75,192
213,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,8352,21.75,192
214,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,8396,21.864583333333332,192
215,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,8396,21.864583333333332,192
216,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,8400,21.875,192
217,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,8444,21.989583333333332,192
218,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,8448,22.0,192
219,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,8448,22.0,192
220,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,8492,22.114583333333332,192
221,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,8492,22.114583333333332,192
222,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8544,22.25,192
223,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,8588,22.364583333333332,192
224,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8640,22.5,192
225,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,8640,22.5,192
226,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,8640,22.5,192
227,9.0,,,,51.0,,,,,44,note_on,,0.0,51.0,0.0,8684,22.614583333333332,192
228,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,8684,22.614583333333332,192
229,9.0,,,,40.0,,,,,0,note_on,,0.0,40.0,0.0,8684,22.614583333333332,192
230,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8736,22.75,192
231,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,8780,22.864583333333332,192
232,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8832,23.0,192
233,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,8832,23.0,192
234,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,8876,23.114583333333332,192
235,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,8876,23.114583333333332,192
236,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,8928,23.25,192
237,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,8928,23.25,192
238,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,8972,23.364583333333332,192
239,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,8972,23.364583333333332,192
240,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9024,23.5,192
241,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,9024,23.5,192
242,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,9024,23.5,192
243,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,9068,23.614583333333332,192
244,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,9068,23.614583333333332,192
245,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,9068,23.614583333333332,192
246,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9120,23.75,192
247,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,9120,23.75,192
248,9.0,,,,51.0,,,,,44,note_on,,0.0,51.0,0.0,9164,23.864583333333332,192
249,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,9164,23.864583333333332,192
250,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,9168,23.875,192
251,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,9212,23.989583333333332,192
252,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,9216,24.0,192
253,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,9216,24.0,192
254,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,9260,24.114583333333332,192
255,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,9260,24.114583333333332,192
256,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9312,24.25,192
257,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,9356,24.364583333333332,192
