,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
368,4.0,,,,,,,62.0,,,,0,note_on,,120.0,62.0,120.0,394,0.5130208333333333,384,4.0_0.0,Alto Sax
369,2.0,,,,,,,52.0,,,,14,note_on,,102.0,52.0,102.0,4744,6.177083333333333,384,2.0_1.0,Acoustic Grand Piano
370,2.0,,,,,,,57.0,,,,2,note_on,,93.0,57.0,93.0,4746,6.1796875,384,2.0_1.0,Acoustic Grand Piano
371,9.0,,,,,,,39.0,,,,2,note_on,,85.0,39.0,85.0,2426,3.1588541666666665,384,9.0_0.0,Violin
372,9.0,,,,,,,39.0,,,,4,note_off,,85.0,39.0,85.0,2430,3.1640625,384,9.0_0.0,Violin
373,2.0,,,,,,,57.0,,,,218,note_off,,93.0,57.0,93.0,4964,6.463541666666666,384,2.0_1.0,Acoustic Grand Piano
374,9.0,,,,,,,44.0,,,,102,note_on,,108.0,44.0,108.0,2532,3.296875,384,9.0_0.0,Violin
375,9.0,,,,,,,44.0,,,,4,note_off,,108.0,44.0,108.0,2536,3.302083333333333,384,9.0_0.0,Violin
376,2.0,,,,,,,62.0,,,,6,note_off,,107.0,62.0,107.0,4970,6.471354166666666,384,2.0_1.0,Acoustic Grand Piano
377,2.0,,,,,,,52.0,,,,76,note_off,,102.0,52.0,102.0,5046,6.5703125,384,2.0_1.0,Acoustic Grand Piano
378,2.0,,,,,,,71.0,,,,0,note_off,,107.0,71.0,107.0,5046,6.5703125,384,2.0_1.0,Acoustic Grand Piano
379,2.0,,,,,,,67.0,,,,16,note_off,,106.0,67.0,106.0,5062,6.591145833333333,384,2.0_1.0,Acoustic Grand Piano
380,4.0,,,,,,,62.0,,,,126,note_off,,120.0,62.0,120.0,520,0.6770833333333333,384,4.0_0.0,Alto Sax
381,9.0,,,,,,,39.0,,,,48,note_on,,90.0,39.0,90.0,2584,3.364583333333333,384,9.0_0.0,Violin
382,2.0,,,,,,,60.0,,,,0,note_on,,101.0,60.0,101.0,5062,6.591145833333333,384,2.0_1.0,Acoustic Grand Piano
383,2.0,,,,,,,65.0,,,,0,note_on,,107.0,65.0,107.0,5062,6.591145833333333,384,2.0_1.0,Acoustic Grand Piano
384,2.0,,,,,,,69.0,,,,0,note_on,,102.0,69.0,102.0,5062,6.591145833333333,384,2.0_1.0,Acoustic Grand Piano
385,2.0,,,,,,,55.0,,,,2,note_on,,90.0,55.0,90.0,5064,6.59375,384,2.0_1.0,Acoustic Grand Piano
386,9.0,,,,,,,39.0,,,,2,note_off,,90.0,39.0,90.0,2586,3.3671875,384,9.0_0.0,Violin
387,2.0,,,,,,,50.0,,,,12,note_on,,103.0,50.0,103.0,5076,6.609375,384,2.0_1.0,Acoustic Grand Piano
388,3.0,,,,,,,71.0,,,,0,note_off,,127.0,71.0,127.0,1370,1.7838541666666665,384,3.0_0.0,Trumpet
389,3.0,,,,,,,69.0,,,,2,note_on,,115.0,69.0,115.0,1372,1.7864583333333333,384,3.0_0.0,Trumpet
390,4.0,,,,,,,60.0,,,,0,note_on,,112.0,60.0,112.0,520,0.6770833333333333,384,4.0_0.0,Alto Sax
391,2.0,,,,,,,55.0,,,,62,note_off,,90.0,55.0,90.0,5138,6.690104166666666,384,2.0_1.0,Acoustic Grand Piano
392,2.0,,,,,,,50.0,,,,26,note_off,,103.0,50.0,103.0,5164,6.723958333333333,384,2.0_1.0,Acoustic Grand Piano
393,2.0,,,,,,,45.0,,,,0,note_off,,95.0,45.0,95.0,5164,6.723958333333333,384,2.0_1.0,Acoustic Grand Piano
394,2.0,,,,,,,65.0,,,,28,note_off,,107.0,65.0,107.0,5192,6.760416666666666,384,2.0_1.0,Acoustic Grand Piano
395,2.0,,,,,,,60.0,,,,0,note_off,,101.0,60.0,101.0,5192,6.760416666666666,384,2.0_1.0,Acoustic Grand Piano
396,2.0,,,,,,,69.0,,,,28,note_off,,102.0,69.0,102.0,5220,6.796875,384,2.0_1.0,Acoustic Grand Piano
397,1.0,,,,,,,45.0,,,,8,note_off,,104.0,45.0,104.0,3078,4.0078125,384,1.0_1.0,Acoustic Bass
398,3.0,,,,,,,69.0,,,,38,note_off,,115.0,69.0,115.0,1410,1.8359375,384,3.0_0.0,Trumpet
399,4.0,,,,,,,60.0,,,,2,note_off,,112.0,60.0,112.0,522,0.6796875,384,4.0_0.0,Alto Sax
400,2.0,,,,,,,38.0,,,,162,note_on,,108.0,38.0,108.0,5382,7.0078125,384,2.0_1.0,Acoustic Grand Piano
401,1.0,,,,,,,38.0,,,,10,note_on,,120.0,38.0,120.0,3088,4.020833333333333,384,1.0_1.0,Acoustic Bass
402,9.0,,,,,,,44.0,,,,120,note_on,,99.0,44.0,99.0,2706,3.5234375,384,9.0_0.0,Violin
403,9.0,,,,,,,44.0,,,,4,note_off,,99.0,44.0,99.0,2710,3.528645833333333,384,9.0_0.0,Violin
404,1.0,,,,,,,38.0,,,,2,note_off,,120.0,38.0,120.0,3090,4.0234375,384,1.0_1.0,Acoustic Bass
405,1.0,,,,,,,45.0,,,,0,note_on,,104.0,45.0,104.0,3090,4.0234375,384,1.0_1.0,Acoustic Bass
406,2.0,,,,,,,45.0,,,,16,note_on,,106.0,45.0,106.0,5398,7.028645833333333,384,2.0_1.0,Acoustic Grand Piano
407,2.0,,,,,,,38.0,,,,16,note_off,,108.0,38.0,108.0,5414,7.049479166666666,384,2.0_1.0,Acoustic Grand Piano
408,2.0,,,,,,,45.0,,,,184,note_off,,106.0,45.0,106.0,5598,7.2890625,384,2.0_1.0,Acoustic Grand Piano
409,1.0,,,,,,,45.0,,,,8,note_off,,104.0,45.0,104.0,3098,4.033854166666666,384,1.0_1.0,Acoustic Bass
410,1.0,,,,,,,47.0,,,,26,note_on,,106.0,47.0,106.0,3124,4.067708333333333,384,1.0_1.0,Acoustic Bass
411,2.0,,,,,,,47.0,,,,8,note_on,,94.0,47.0,94.0,5606,7.299479166666666,384,2.0_1.0,Acoustic Grand Piano
412,9.0,,,,,,,44.0,,,,92,note_on,,97.0,44.0,97.0,2802,3.6484375,384,9.0_0.0,Violin
413,9.0,,,,,,,44.0,,,,4,note_off,,97.0,44.0,97.0,2806,3.653645833333333,384,9.0_0.0,Violin
414,9.0,,,,,,,46.0,,,,12,note_on,,85.0,46.0,85.0,2818,3.669270833333333,384,9.0_0.0,Violin
415,9.0,,,,,,,46.0,,,,4,note_off,,85.0,46.0,85.0,2822,3.6744791666666665,384,9.0_0.0,Violin
416,1.0,,,,,,,47.0,,,,6,note_off,,106.0,47.0,106.0,3130,4.075520833333333,384,1.0_1.0,Acoustic Bass
417,1.0,,,,,,,48.0,,,,14,note_on,,109.0,48.0,109.0,3144,4.09375,384,1.0_1.0,Acoustic Bass
418,2.0,,,,,,,47.0,,,,22,note_off,,94.0,47.0,94.0,5628,7.328125,384,2.0_1.0,Acoustic Grand Piano
419,2.0,,,,,,,48.0,,,,2,note_on,,89.0,48.0,89.0,5630,7.330729166666666,384,2.0_1.0,Acoustic Grand Piano
420,1.0,,,,,,,50.0,,,,202,note_on,,113.0,50.0,113.0,3346,4.356770833333333,384,1.0_1.0,Acoustic Bass
421,2.0,,,,,,,48.0,,,,10,note_off,,89.0,48.0,89.0,5640,7.34375,384,2.0_1.0,Acoustic Grand Piano
422,2.0,,,,,,,50.0,,,,2,note_on,,90.0,50.0,90.0,5642,7.346354166666666,384,2.0_1.0,Acoustic Grand Piano
423,1.0,,,,,,,48.0,,,,14,note_off,,109.0,48.0,109.0,3360,4.375,384,1.0_1.0,Acoustic Bass
424,9.0,,,,,,,44.0,,,,118,note_on,,97.0,44.0,97.0,2940,3.828125,384,9.0_0.0,Violin
425,9.0,,,,,,,44.0,,,,4,note_off,,97.0,44.0,97.0,2944,3.833333333333333,384,9.0_0.0,Violin
426,1.0,,,,,,,52.0,,,,4,note_on,,110.0,52.0,110.0,3364,4.380208333333333,384,1.0_1.0,Acoustic Bass
427,2.0,,,,,,,52.0,,,,12,note_on,,108.0,52.0,108.0,5654,7.361979166666666,384,2.0_1.0,Acoustic Grand Piano
428,1.0,,,,,,,50.0,,,,14,note_off,,113.0,50.0,113.0,3378,4.3984375,384,1.0_1.0,Acoustic Bass
429,2.0,,,,,,,50.0,,,,14,note_off,,90.0,50.0,90.0,5668,7.380208333333333,384,2.0_1.0,Acoustic Grand Piano
