     ,channel ,clocks_per_click ,control ,denominator ,name                                     ,notated_32nd_notes_per_beat ,note ,numerator ,pitch  ,program ,tempo    ,time   ,type           ,value ,velocity ,note_midi_value ,note_velocity ,note_time ,note_seconds           ,tpb ,channel_chunk ,instrument
25   ,0.0     ,                 ,95.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
26   ,1.0     ,                 ,95.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
27   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,46080  ,note_on        ,      ,95.0     ,50.0            ,95.0          ,46080     ,48.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
28   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,46080     ,48.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
29   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,46320     ,48.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
30   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,46320     ,48.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
31   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,50.0            ,95.0          ,46320     ,48.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
32   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,46320     ,48.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
33   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,46560     ,48.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
34   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,46560     ,48.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
35   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,50.0            ,95.0          ,46560     ,48.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
36   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,46560     ,48.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
37   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,46800     ,48.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
38   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,46800     ,48.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
39   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,50.0            ,95.0          ,46800     ,48.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
40   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,46800     ,48.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
41   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,47040     ,49.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
42   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,47040     ,49.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
43   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,50.0            ,95.0          ,47040     ,49.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
44   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,47040     ,49.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
45   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,47280     ,49.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
46   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,47280     ,49.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
47   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,50.0            ,95.0          ,47280     ,49.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
48   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,47280     ,49.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
49   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,47520     ,49.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
