,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
50,,,,,,,,,,,Bolero (Ravel),,,,,,,,,0,track_name,,,,,4313345136,4493067.85,480,nan_1123266.0,
51,,,,,,,,,,,All Channels,,,,,,,,,0,instrument_name,,,,,4313345136,4493067.85,480,nan_1123266.0,
52,,,,,,,,,,,Bolero (Ravel),,,,,,,,,0,track_name,,,,,4313345136,4493067.85,480,nan_1123266.0,
53,,,,,,,,,,,All Channels,,,,,,,,,0,instrument_name,,,,,4313345136,4493067.85,480,nan_1123266.0,
54,,,,"[65, 16, 66, 18, 64, 1, 16, 3, 1, 1, 1, 0, 2, 2, 2, 1, 1, 0, 2, 2, 2, 2, 2, 23]",,,,,,,,,,,,,,,,25,sysex,,,,,4313345136,4493067.85,480,nan_1123266.0,
55,0.0,,0.0,,,,,,,,,,,,,,,,,455,control_change,0.0,,,,455,0.4739583333333333,480,0.0_0.0,Flute
56,0.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,460,0.4791666666666667,480,0.0_0.0,Flute
57,0.0,,,,,,,,,,,,,,73.0,,,,,5,program_change,,,,,465,0.484375,480,0.0_0.0,Flute
58,0.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,50.0,,,,470,0.4895833333333333,480,0.0_0.0,Flute
59,0.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,54.0,,,,470,0.4895833333333333,480,0.0_0.0,Flute
60,0.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,471,0.490625,480,0.0_0.0,Flute
61,0.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,475,0.4947916666666667,480,0.0_0.0,Flute
62,0.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,50.0,,,,475,0.4947916666666667,480,0.0_0.0,Flute
63,1.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,1.0_0.0,Oboe
64,1.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,1.0_0.0,Oboe
65,1.0,,,,,,,,,,,,,,68.0,,,,,5,program_change,,,,,15,0.015625,480,1.0_0.0,Oboe
66,1.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,50.0,,,,20,0.020833333333333332,480,1.0_0.0,Oboe
67,1.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,74.0,,,,20,0.020833333333333332,480,1.0_0.0,Oboe
68,1.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,1.0_0.0,Oboe
69,1.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,1.0_0.0,Oboe
70,1.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,50.0,,,,25,0.026041666666666668,480,1.0_0.0,Oboe
71,2.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,2.0_0.0,Clarinet
