,channel,clocks_per_click,control,denominator,key,notated_32nd_notes_per_beat,note,numerator,program,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
44,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,4327,9.834090909090909,220,0.0_2.0,Acoustic Guitar (nylon)
45,0.0,,,,,,62.0,,,25,note_on,,69.0,62.0,69.0,4352,9.89090909090909,220,0.0_2.0,Acoustic Guitar (nylon)
46,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,4583,10.415909090909091,220,0.0_2.0,Acoustic Guitar (nylon)
47,0.0,,,,,,60.0,,,25,note_on,,71.0,60.0,71.0,4608,10.472727272727273,220,0.0_2.0,Acoustic Guitar (nylon)
48,0.0,,,,,,60.0,,,231,note_on,,0.0,60.0,0.0,4839,10.997727272727273,220,0.0_2.0,Acoustic Guitar (nylon)
49,0.0,,,,,,62.0,,,25,note_on,,80.0,62.0,80.0,4864,11.054545454545455,220,0.0_2.0,Acoustic Guitar (nylon)
50,0.0,,,,,,55.0,,,206,note_on,,0.0,55.0,0.0,5070,11.522727272727272,220,0.0_2.0,Acoustic Guitar (nylon)
51,0.0,,,,,,62.0,,,25,note_on,,0.0,62.0,0.0,5095,11.579545454545453,220,0.0_2.0,Acoustic Guitar (nylon)
52,0.0,,,,,,64.0,,,25,note_on,,84.0,64.0,84.0,5120,11.636363636363637,220,0.0_2.0,Acoustic Guitar (nylon)
53,0.0,,,,,,55.0,,,0,note_on,,79.0,55.0,79.0,5120,11.636363636363637,220,0.0_2.0,Acoustic Guitar (nylon)
54,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,5351,12.161363636363635,220,0.0_3.0,Acoustic Guitar (nylon)
55,0.0,,,,,,64.0,,,25,note_on,,76.0,64.0,76.0,5376,12.218181818181817,220,0.0_3.0,Acoustic Guitar (nylon)
56,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,5607,12.743181818181817,220,0.0_3.0,Acoustic Guitar (nylon)
57,0.0,,,,,,64.0,,,25,note_on,,74.0,64.0,74.0,5632,12.799999999999999,220,0.0_3.0,Acoustic Guitar (nylon)
58,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,5863,13.325,220,0.0_3.0,Acoustic Guitar (nylon)
59,0.0,,,,,,64.0,,,25,note_on,,77.0,64.0,77.0,5888,13.381818181818181,220,0.0_3.0,Acoustic Guitar (nylon)
60,0.0,,,,,,55.0,,,206,note_on,,0.0,55.0,0.0,6094,13.85,220,0.0_3.0,Acoustic Guitar (nylon)
61,0.0,,,,,,64.0,,,25,note_on,,0.0,64.0,0.0,6119,13.906818181818181,220,0.0_3.0,Acoustic Guitar (nylon)
62,0.0,,,,,,62.0,,,25,note_on,,75.0,62.0,75.0,6144,13.963636363636363,220,0.0_3.0,Acoustic Guitar (nylon)
