note_name,octave,note_time,magnitude
F,5,0.0,0.10326080123484625
G,5,0.0,0.2467622902732216
G#,5,0.0,0.32945922340059375
A,5,0.0,0.15341478938301212
C,6,0.0,0.19071829452243713
C#,6,0.0,0.17273837082627705
F,4,765.765306122449,0.12038274772757693
F#,4,765.765306122449,0.10935974999319104
E,4,788.970315398887,0.15581098055499615
F,4,788.970315398887,0.34494789558054323
F#,4,788.970315398887,0.27320412890637935
G#,4,788.970315398887,0.25074402476246627
A,4,788.970315398887,0.20146661469926577
E,4,812.1753246753248,0.15090441370986157
G#,4,812.1753246753248,0.106493075674348
D,4,1113.840445269017,0.10961304438394263
D#,4,1113.840445269017,0.13226331218324008
E,4,1113.840445269017,0.156221218063024
F,4,1113.840445269017,0.14672828776236077
A,4,1113.840445269017,0.10507848285051848
A#,4,1113.840445269017,0.20219428610571816
B,4,1113.840445269017,0.34171936260626995
C,5,1113.840445269017,0.4717293633277335
C#,5,1113.840445269017,0.3528246612548502
D,5,1113.840445269017,0.13647513351395463
C,5,1137.0454545454547,0.1542330210026723
C#,5,1137.0454545454547,0.1720058995572965
C,5,1438.7105751391466,0.15092765992758328
C#,5,1438.7105751391466,0.1153154235786404
E,5,1438.7105751391466,0.10514748369698353
F,5,1438.7105751391466,0.14730322042436672
F#,5,1438.7105751391466,0.18753662469687002
G,5,1438.7105751391466,0.2397657410532708
G#,5,1438.7105751391466,0.22937489181209345
A,5,1438.7105751391466,0.14841490648012345
A#,5,1438.7105751391466,0.11323403987680396
A,3,1809.9907235621524,0.12494723203393916
E,4,2436.525974025974,0.10626918220958242
A,4,2436.525974025974,0.10461551329601763
A#,4,2436.525974025974,0.12423635519934621
B,4,2436.525974025974,0.16979621528609568
C,5,2436.525974025974,0.18861846718087338
C,5,2459.7309833024124,0.10647608298252134
E,4,2761.3961038961043,0.10713927741844484
E,4,2784.601113172542,0.19851749701888702
F,4,2784.601113172542,0.1939495260266668
E,4,2807.80612244898,0.10938366005574268
D,4,3109.471243042672,0.10403764402850389
D#,4,3109.471243042672,0.11073746626273648
E,4,3109.471243042672,0.11362644888319437
A,4,3109.471243042672,0.11501782342557061
A#,4,3109.471243042672,0.21200233716754618
B,4,3109.471243042672,0.31556735468665875
C,5,3109.471243042672,0.36809533087772334
C#,5,3109.471243042672,0.2294308444611142
B,4,3132.6762523191096,0.10032654933153534
C,5,3132.6762523191096,0.17694699155391866
C#,5,3132.6762523191096,0.16026913644865082
C,5,3434.341372912802,0.1036232510405635
C,6,3434.341372912802,0.1384216642828502
C#,6,3434.341372912802,0.14229949790443408
A,4,3782.41651205937,0.10766545089696684
G#,3,3805.6215213358073,0.14659083354198865
A,3,3805.6215213358073,0.15653788959680406
G#,3,3828.8265306122457,0.11047237522772081
C,5,4223.311688311688,0.10526367552335607
F,5,4339.336734693878,0.1760358900093014
F#,5,4339.336734693878,0.20680526958601383
G,5,4339.336734693878,0.18656431255666184
B,4,4432.1567717996295,0.10501127687601565
C,4,4780.231910946197,0.10840131034166546
C#,4,4780.231910946197,0.15407575778306593
D,4,4780.231910946197,0.17681414596389597
D#,4,4780.231910946197,0.134321590745486
F,4,4780.231910946197,0.12041235456928655
F#,4,4780.231910946197,0.1367656042831221
A,4,5105.102040816327,0.1138443554027213
A#,4,5105.102040816327,0.2007708307430937
B,4,5105.102040816327,0.1983505589613118
C#,5,5105.102040816327,0.14153092111392762
D,5,5105.102040816327,0.14676088786523178
D#,5,5105.102040816327,0.10479183479354981
F#,5,5105.102040816327,0.10769116664073518
G,5,5105.102040816327,0.18787830767741448
G#,5,5105.102040816327,0.12643380358818426
C,5,5128.307050092765,0.1263075001770581
C#,5,5128.307050092765,0.18775461622238657
F,5,5128.307050092765,0.12700102377911757
G,5,5128.307050092765,0.16629610993597826
G#,5,5128.307050092765,0.119064273743102
F#,5,5151.512059369204,0.10953607566671164
F,4,5429.9721706864575,0.14738848561710222
F#,4,5429.9721706864575,0.18794307166371452
G,4,5429.9721706864575,0.1683549768314904
G#,4,5429.9721706864575,0.16525076803918715
A,4,5429.9721706864575,0.12982806599649754
F,4,5453.177179962894,0.14003777862091646
F#,4,5453.177179962894,0.18890617196238285
G,4,5453.177179962894,0.20641760970169876
G#,4,5453.177179962894,0.2583770392104082
A,4,5453.177179962894,0.14658060101595263
F,3,5754.842300556586,0.15096182485585058
F#,3,5754.842300556586,0.22597461144990838
G,3,5754.842300556586,0.2707696466667163
G#,3,5754.842300556586,0.223209738331749
A,3,5754.842300556586,0.11695820104827039
G#,4,5754.842300556586,0.10143862873692551
A#,4,5754.842300556586,0.10356210442220834
