octave,note_name,note_time,magnitude
3,D#,0.0,0.1072318730633596
3,E,0.0,0.11487547970839687
3,F,0.0,0.138347980656843
3,F#,0.0,0.16039570267215295
3,G,0.0,0.294339284297026
3,G#,0.0,0.10788836692342421
3,A,0.0,0.3707656170988366
3,A#,0.0,0.4210131258432463
3,B,0.0,0.2176876379464413
4,C,0.0,0.12501336037467428
4,G,0.0,0.12094942025531587
4,G#,0.0,0.25376399040570025
4,A,0.0,0.153882800387067
5,C#,0.0,0.14820828142784612
5,D,0.0,0.26048141054124324
5,E,0.0,0.26463665858232066
5,F,0.0,0.2654617377237538
5,F#,0.0,0.10440930165472279
6,C#,0.0,0.1401145838808754
3,G,23.219640676783534,0.15530037390741283
3,G#,23.219640676783534,0.4159948018509208
3,A,23.219640676783534,0.49281205239035225
3,A#,23.219640676783534,0.22071559939038324
4,G#,23.219640676783534,0.1833277500257153
4,A,23.219640676783534,0.203564064002035
5,D#,23.219640676783534,0.22089701185049176
5,E,23.219640676783534,0.290127681993627
6,C,23.219640676783534,0.1264518326376048
6,C#,23.219640676783534,0.13060183396525538
3,G,46.43928135356707,0.10401628618307857
3,G#,46.43928135356707,0.37411299948091414
3,A,46.43928135356707,0.20925238987678227
3,A#,46.43928135356707,0.20377544181798618
3,B,46.43928135356707,0.1446457894342634
4,G#,46.43928135356707,0.2852848333724809
4,A,46.43928135356707,0.35950563509729955
4,A#,46.43928135356707,0.21029115175369242
5,C#,46.43928135356707,0.1113739715863142
5,D,46.43928135356707,0.2256127280761214
5,D#,46.43928135356707,0.40273628079935697
5,E,46.43928135356707,0.30631102708305347
3,G,69.65892203035061,0.10923716117731395
3,G#,69.65892203035061,0.41227824307670097
3,A,69.65892203035061,0.38557808261253484
3,A#,69.65892203035061,0.23302204510336033
4,G#,69.65892203035061,0.2690609481123508
4,A,69.65892203035061,0.3151243691785128
4,A#,69.65892203035061,0.1228451609852199
5,D#,69.65892203035061,0.2993981406894072
5,E,69.65892203035061,0.384435572580701
5,F,69.65892203035061,0.126228202923738
6,C,69.65892203035061,0.11116569805145757
6,C#,69.65892203035061,0.11471951053336216
3,G,92.87856270713414,0.1406716472876867
3,G#,92.87856270713414,0.5150938161631302
3,A,92.87856270713414,0.4924700376389056
3,A#,92.87856270713414,0.10661534256562376
4,G#,92.87856270713414,0.23365351082364066
4,A,92.87856270713414,0.2528543139980337
5,D,92.87856270713414,0.13940430530940157
5,D#,92.87856270713414,0.38435795338250955
5,E,92.87856270713414,0.43711947985309096
5,F,92.87856270713414,0.15578531287912795
6,C,92.87856270713414,0.12145348976369648
6,C#,92.87856270713414,0.12971858957110038
3,G#,116.09820338391768,0.4521861791992438
3,A,116.09820338391768,0.5465266343211325
3,A#,116.09820338391768,0.22150735772882693
4,G#,116.09820338391768,0.19415535930224218
4,A,116.09820338391768,0.2832838480361512
4,A#,116.09820338391768,0.12865469106569824
5,D#,116.09820338391768,0.23510385246104293
5,E,116.09820338391768,0.35261740183875095
5,F,116.09820338391768,0.13591628568098726
6,C,116.09820338391768,0.12592549402379383
6,C#,116.09820338391768,0.1391934575195908
3,G#,139.31784406070122,0.3570910733998324
3,A,139.31784406070122,0.4420803651250336
3,A#,139.31784406070122,0.17822404994933763
4,G#,139.31784406070122,0.16590904788000244
4,A,139.31784406070122,0.23222443788797176
4,A#,139.31784406070122,0.10314676263503539
5,D#,139.31784406070122,0.2288751695459704
5,E,139.31784406070122,0.3316539090011728
5,F,139.31784406070122,0.1317054509262098
6,C,139.31784406070122,0.12721891230665072
6,C#,139.31784406070122,0.14448483691347547
3,G#,162.53748473748476,0.33495796847092035
3,A,162.53748473748476,0.3890535406576818
3,A#,162.53748473748476,0.15724357171448858
4,G#,162.53748473748476,0.15318519307129816
4,A,162.53748473748476,0.18642078486187924
5,D#,162.53748473748476,0.21062430547533217
5,E,162.53748473748476,0.26525751980234963
6,C#,162.53748473748476,0.12617313792825552
3,G,185.75712541426827,0.10432765637921826
3,G#,185.75712541426827,0.3444205314840305
3,A,185.75712541426827,0.3615230862771331
4,G#,185.75712541426827,0.16046936322638095
4,A,185.75712541426827,0.18366339199210455
5,D#,185.75712541426827,0.17421951513070563
5,E,185.75712541426827,0.24198471640425
3,G#,208.97676609105181,0.22194253196990424
3,A,208.97676609105181,0.25629474222626125
3,A#,208.97676609105181,0.15134832250702562
4,C,208.97676609105181,0.14032730775251728
4,C#,208.97676609105181,0.33356536185928326
4,D,208.97676609105181,0.3399501757309321
4,D#,208.97676609105181,0.20132330109576743
4,F#,208.97676609105181,0.11661420260944134
4,G#,208.97676609105181,0.12714446733147305
4,A,208.97676609105181,0.17965777657575854
4,A#,208.97676609105181,0.15136444015762396
5,C,208.97676609105181,0.21035493624992704
5,C#,208.97676609105181,0.8610125465811178
5,D,208.97676609105181,0.9862674258588944
5,D#,208.97676609105181,0.29065663576940326
5,E,208.97676609105181,0.17436453823534226
5,F,208.97676609105181,0.10128348062870779
5,G#,208.97676609105181,0.10932901662387484
5,A,208.97676609105181,0.12736556230876608
6,D,208.97676609105181,0.1548588248535748
3,G#,232.19640676783536,0.1403209776156915
3,A,232.19640676783536,0.11616360922151021
4,C#,232.19640676783536,0.28782176185288355
4,D,232.19640676783536,0.22487731109259734
4,G#,232.19640676783536,0.1784779325398304
4,A,232.19640676783536,0.1877582689887836
4,B,232.19640676783536,0.11541054200427663
5,C#,232.19640676783536,0.9956834977716765
5,D,232.19640676783536,1.3560233287998191
5,D#,232.19640676783536,0.6040428415538455
5,E,232.19640676783536,0.15703929646838471
6,C#,232.19640676783536,0.17039861758650066
6,D,232.19640676783536,0.2222880100385578
6,D#,232.19640676783536,0.10049320460699424
6,F#,232.19640676783536,0.11859755031603418
3,G#,255.41604744461887,0.10056033440495551
3,A,255.41604744461887,0.11495938900028006
4,C#,255.41604744461887,0.275518216322345
4,D,255.41604744461887,0.2807367015234945
4,G#,255.41604744461887,0.14664167670643827
4,A,255.41604744461887,0.20500300284020428
5,C,255.41604744461887,0.1408283672179031
5,C#,255.41604744461887,0.9178206723532072
5,D,255.41604744461887,1.2726634066655147
5,D#,255.41604744461887,0.4917673181497787
5,E,255.41604744461887,0.12019682914779209
5,A,255.41604744461887,0.1094096198613536
6,C#,255.41604744461887,0.1925655016450282
6,D,255.41604744461887,0.2394681736972678
4,C#,278.63568812140244,0.2738579013369743
4,D,278.63568812140244,0.40419062491549307
4,D#,278.63568812140244,0.1856784398342965
4,F#,278.63568812140244,0.11315390002305056
4,G#,278.63568812140244,0.1307247479064654
4,A,278.63568812140244,0.1802406269293855
4,B,278.63568812140244,0.10803496018611328
5,C,278.63568812140244,0.15588230147903565
5,C#,278.63568812140244,0.8544928140498839
5,D,278.63568812140244,1.150522058395933
5,D#,278.63568812140244,0.3640105225803442
5,E,278.63568812140244,0.13582539403400573
5,G#,278.63568812140244,0.1285791330694963
5,A,278.63568812140244,0.1480865162336132
6,C#,278.63568812140244,0.16013132538676292
6,D,278.63568812140244,0.17018676577769853
4,C#,301.85532879818595,0.3106891579454888
4,D,301.85532879818595,0.418777238852945
4,D#,301.85532879818595,0.18385409284886128
4,F#,301.85532879818595,0.12420816593473923
4,A,301.85532879818595,0.10702327756451929
4,B,301.85532879818595,0.12805526460357658
5,C#,301.85532879818595,0.9430609346032927
5,D,301.85532879818595,1.2639844622699516
5,D#,301.85532879818595,0.5760396090520681
5,E,301.85532879818595,0.1579634863294963
5,F,301.85532879818595,0.13625317337523085
5,A,301.85532879818595,0.10718567965280758
6,D,301.85532879818595,0.1337114063711278
4,C#,325.0749694749695,0.29159855958313097
4,D,325.0749694749695,0.2996518459698791
4,F#,325.0749694749695,0.10198607638867964
4,A,325.0749694749695,0.13180557219860597
4,B,325.0749694749695,0.14618593241719924
5,C,325.0749694749695,0.1427465915229857
5,C#,325.0749694749695,0.7314438037847959
5,D,325.0749694749695,1.0108824777380314
5,D#,325.0749694749695,0.3370949313641098
5,E,325.0749694749695,0.10991233564703459
5,A,325.0749694749695,0.13604431733208058
6,D,325.0749694749695,0.11648644725413057
3,G#,348.294610151753,0.10396494653405737
3,A,348.294610151753,0.12894899895609105
4,C#,348.294610151753,0.2666293078783699
4,D,348.294610151753,0.3225881793778305
4,D#,348.294610151753,0.12035850984142635
4,A,348.294610151753,0.12179629927949832
4,B,348.294610151753,0.13636303242183892
5,C,348.294610151753,0.15019127713960953
5,C#,348.294610151753,0.6532543882084031
5,D,348.294610151753,0.8912978171921958
5,D#,348.294610151753,0.38751933187836857
5,G#,348.294610151753,0.11794108681301754
5,A,348.294610151753,0.14340174266751374
3,G#,371.51425082853655,0.13051682856988087
3,A,371.51425082853655,0.1416531217963883
4,C#,371.51425082853655,0.3061998506934941
4,D,371.51425082853655,0.3579777464104121
4,D#,371.51425082853655,0.11139294784145268
4,F,371.51425082853655,0.10103460587921206
4,F#,371.51425082853655,0.10226580647058853
4,G#,371.51425082853655,0.10475538415650336
4,A,371.51425082853655,0.15271550212544321
4,B,371.51425082853655,0.16818924798983823
5,C,371.51425082853655,0.16458523852267035
5,C#,371.51425082853655,0.44416492215739006
5,D,371.51425082853655,0.675737400484107
5,D#,371.51425082853655,0.2823682037375479
5,A,371.51425082853655,0.10651214468601422
3,G#,394.7338915053201,0.1218665187331493
3,A,394.7338915053201,0.15298346850379207
4,C#,394.7338915053201,0.2811115565928464
4,D,394.7338915053201,0.35911694475472616
4,D#,394.7338915053201,0.13377013992886447
4,F,394.7338915053201,0.10077838310752209
4,F#,394.7338915053201,0.12105094539198064
4,A,394.7338915053201,0.1896831166419147
4,A#,394.7338915053201,0.15335152962016677
4,B,394.7338915053201,0.16793151472005333
5,C,394.7338915053201,0.10755845848997589
5,C#,394.7338915053201,0.32879149739216385
5,D,394.7338915053201,0.4835084123853808
5,D#,394.7338915053201,0.15164631121333938
3,G#,417.95353218210363,0.12539839670576572
3,A,417.95353218210363,0.13322164507074846
4,C#,417.95353218210363,0.22717773302020122
4,D,417.95353218210363,0.29256120066143165
4,D#,417.95353218210363,0.10276806601834834
4,F#,417.95353218210363,0.12247086569515067
4,G#,417.95353218210363,0.10062708868645519
4,A,417.95353218210363,0.18524282861763816
4,A#,417.95353218210363,0.10062343650559592
4,B,417.95353218210363,0.11166130151785825
5,C#,417.95353218210363,0.19453582971672734
5,D,417.95353218210363,0.26972913802776155
5,D#,417.95353218210363,0.12405339071525724
5,G#,417.95353218210363,0.12073152679310527
5,A,417.95353218210363,0.10364132448867683
3,G#,441.1731728588872,0.13728844697692597
3,A,441.1731728588872,0.14521381182457918
4,C#,441.1731728588872,0.22396125734503236
4,D,441.1731728588872,0.2957672211866023
4,D#,441.1731728588872,0.1346513415354788
4,A,441.1731728588872,0.14802065917575646
4,B,441.1731728588872,0.10217785702944472
5,C#,441.1731728588872,0.12504995215483977
5,D,441.1731728588872,0.16573183052420767
5,G,441.1731728588872,0.114762621862332
3,D,464.3928135356707,0.11136516575497761
3,G#,464.3928135356707,0.14149287657372484
3,A,464.3928135356707,0.1526841294172612
4,C#,464.3928135356707,0.18507919061652606
4,D,464.3928135356707,0.23512491577875524
4,G#,464.3928135356707,0.10271948257204278
4,A,464.3928135356707,0.10356204068928676
3,D,487.6124542124542,0.11797755892521462
3,G#,487.6124542124542,0.12052997567056445
3,A,487.6124542124542,0.1424897720639106
4,C#,487.6124542124542,0.14077804945941455
4,D,487.6124542124542,0.18657036621072925
4,G#,487.6124542124542,0.11086130494911602
4,A,487.6124542124542,0.10884071084573767
3,D,510.83209488923774,0.11447173058085122
3,A,510.83209488923774,0.11146466717545099
4,C#,510.83209488923774,0.10472396611519241
4,D,510.83209488923774,0.13713116483426135
4,A,510.83209488923774,0.10655816208981259
5,D,510.83209488923774,0.10384499372166062
3,D,534.0517355660213,0.10620832094410074
4,D,534.0517355660213,0.11907944320986943
4,A,534.0517355660213,0.10525126297328859
3,A,1160.9820338391767,0.13010392844639274
4,A,1160.9820338391767,0.10890526970046516
3,G#,1184.2016745159603,0.12601804715389553
3,A,1184.2016745159603,0.19219506472329184
4,D#,1184.2016745159603,0.15968639033119644
4,E,1184.2016745159603,0.1755458444970299
4,G#,1184.2016745159603,0.1046946649362982
4,A,1184.2016745159603,0.13502714508429348
3,G#,1207.4213151927438,0.14377500254085313
3,A,1207.4213151927438,0.17800633950769162
4,D#,1207.4213151927438,0.1422681445034203
