note_name,octave,note_time,magnitude
D,3,0.0,0.20685963888252304
D#,3,0.0,0.17633630684180784
E,3,0.0,0.12359983122812687
F,3,0.0,0.10218502887199692
F#,3,0.0,0.1119306447448109
G,3,0.0,0.351508152153803
G#,3,0.0,0.20750761882329907
F#,4,0.0,0.21491045378029086
G,4,0.0,0.2876696960138407
C,5,0.0,0.14263282725742765
C#,5,0.0,0.13315776077941927
D,5,0.0,0.1467987860497441
F#,5,0.0,0.20221917489426
G,5,0.0,0.47786768140646285
G#,5,0.0,0.3603199606896495
A#,5,0.0,0.27874680115653927
B,5,0.0,0.47535959908078773
C,6,0.0,0.5322461955166854
C#,6,0.0,0.2977113742212171
D,6,0.0,0.12759335160752974
D,3,23.20500927643785,0.19540068263684027
D#,3,23.20500927643785,0.12335075791184559
F,3,23.20500927643785,0.10423842555383207
F#,3,23.20500927643785,0.15717983507330638
G,3,23.20500927643785,0.30950994311308266
G#,3,23.20500927643785,0.25081562568732935
A,3,23.20500927643785,0.10943088445436347
F#,4,23.20500927643785,0.15678625628614795
G,4,23.20500927643785,0.29505031153168143
G#,4,23.20500927643785,0.1420965079008911
D,5,23.20500927643785,0.12312953652715447
F,5,23.20500927643785,0.14452761541654743
F#,5,23.20500927643785,0.29025582123657406
G,5,23.20500927643785,0.15831095798651504
G#,5,23.20500927643785,0.2742329709601618
A,5,23.20500927643785,0.5972635242047032
A#,5,23.20500927643785,0.24870469404638837
B,5,23.20500927643785,0.44906875467325497
C,6,23.20500927643785,0.3337782894931525
D,3,46.4100185528757,0.17441159301178202
G,3,46.4100185528757,0.2526080081936422
G#,3,46.4100185528757,0.19899817351005197
F#,4,46.4100185528757,0.1406394199314211
G,4,46.4100185528757,0.2970481517459025
G#,4,46.4100185528757,0.1528590419300016
C#,5,46.4100185528757,0.10581826336143695
D,5,46.4100185528757,0.14313618769384898
F,5,46.4100185528757,0.12402720720494752
F#,5,46.4100185528757,0.201145561129978
G,5,46.4100185528757,0.13784024587235674
G#,5,46.4100185528757,0.2587266780344591
A,5,46.4100185528757,0.7562499428645009
A#,5,46.4100185528757,0.6644818237427775
B,5,46.4100185528757,0.40133637204769523
C,6,46.4100185528757,0.19602197499859159
D,3,69.61502782931356,0.17182231715613117
G,3,69.61502782931356,0.3218461549024294
G#,3,69.61502782931356,0.25129120431106766
F#,4,69.61502782931356,0.15858093913905402
G,4,69.61502782931356,0.31011586938649943
G#,4,69.61502782931356,0.16815777759359787
D,5,69.61502782931356,0.1482671340816416
F,5,69.61502782931356,0.10112689533789848
F#,5,69.61502782931356,0.1617428777905621
G#,5,69.61502782931356,0.36468397803344127
A,5,69.61502782931356,0.8899239618260353
A#,5,69.61502782931356,0.5718090028217998
C,6,69.61502782931356,0.1306611777275702
D,3,92.8200371057514,0.1738095823700971
F#,3,92.8200371057514,0.1954044947679273
G,3,92.8200371057514,0.46490048211172447
G#,3,92.8200371057514,0.3221390527712296
F#,4,92.8200371057514,0.1532478745981392
G,4,92.8200371057514,0.3069215471515865
G#,4,92.8200371057514,0.16021843280307205
C#,5,92.8200371057514,0.10097338303097465
D,5,92.8200371057514,0.16374789502130488
F#,5,92.8200371057514,0.10452777965680704
G,5,92.8200371057514,0.11901899911362451
G#,5,92.8200371057514,0.21431148633443012
A,5,92.8200371057514,0.6436826118762077
A#,5,92.8200371057514,0.44912470689515505
D,3,116.02504638218925,0.17569453002014815
F#,3,116.02504638218925,0.2866203208178055
G,3,116.02504638218925,0.6081157104507389
G#,3,116.02504638218925,0.3852437513475702
F#,4,116.02504638218925,0.14526869006144238
G,4,116.02504638218925,0.30223147748124934
G#,4,116.02504638218925,0.14840005459523006
C,5,116.02504638218925,0.18758189736359382
C#,5,116.02504638218925,0.27458383011802395
D,5,116.02504638218925,0.24286737778039055
D#,5,116.02504638218925,0.11552118069086986
F#,5,116.02504638218925,0.12748373056512904
G#,5,116.02504638218925,0.1482658157297381
A,5,116.02504638218925,0.3244747607188841
A#,5,116.02504638218925,0.3063624951764392
B,5,116.02504638218925,0.1361074587762785
C#,6,116.02504638218925,0.26176463208405865
D,6,116.02504638218925,0.4195966480159086
D#,6,116.02504638218925,0.2159420669352232
D,3,139.23005565862712,0.16932826807981202
F#,3,139.23005565862712,0.30893503449421816
G,3,139.23005565862712,0.6869200896575552
G#,3,139.23005565862712,0.39548736067220774
F#,4,139.23005565862712,0.16049683106995302
G,4,139.23005565862712,0.33464912800230195
G#,4,139.23005565862712,0.18534885261308479
C#,5,139.23005565862712,0.1788784189405922
D,5,139.23005565862712,0.18372346928690822
F#,5,139.23005565862712,0.12635827426056834
A,5,139.23005565862712,0.10857731364239319
A#,5,139.23005565862712,0.16527845916068423
B,5,139.23005565862712,0.4661656482012478
C,6,139.23005565862712,0.30088074067678544
C#,6,139.23005565862712,0.23694540733905156
D,6,139.23005565862712,0.4513916470168426
D#,6,139.23005565862712,0.24199870472409574
D,3,162.43506493506496,0.16142754786134844
F#,3,162.43506493506496,0.373037937065732
G,3,162.43506493506496,0.7258696633844761
G#,3,162.43506493506496,0.4181265155968415
F#,4,162.43506493506496,0.166717373466577
G,4,162.43506493506496,0.3435918667549111
G#,4,162.43506493506496,0.18892379007595284
C#,5,162.43506493506496,0.15307830280184298
D,5,162.43506493506496,0.1822029788141134
F,5,162.43506493506496,0.10367603673523863
F#,5,162.43506493506496,0.15153527872807476
A,5,162.43506493506496,0.10624670094373198
A#,5,162.43506493506496,0.25594859661944425
B,5,162.43506493506496,0.6783940798959127
C,6,162.43506493506496,0.4128473555812104
C#,6,162.43506493506496,0.30902148528496165
D,6,162.43506493506496,0.7173396349586085
D#,6,162.43506493506496,0.39666074312090344
C#,0,185.6400742115028,0.10274801424065678
D,3,185.6400742115028,0.1630296840060754
F#,3,185.6400742115028,0.3716070738689272
G,3,185.6400742115028,0.7458496177791288
G#,3,185.6400742115028,0.38395978613277854
F#,4,185.6400742115028,0.18043119212927258
G,4,185.6400742115028,0.35367064603698617
G#,4,185.6400742115028,0.19052798851573413
C#,5,185.6400742115028,0.11412799391341263
D,5,185.6400742115028,0.17507493762093496
F#,5,185.6400742115028,0.1492367804444308
G,5,185.6400742115028,0.10387405665752385
G#,5,185.6400742115028,0.1109904128742215
A,5,185.6400742115028,0.16098519773347544
A#,5,185.6400742115028,0.22849640781941088
B,5,185.6400742115028,0.4524477718161363
C,6,185.6400742115028,0.280350093933646
C#,6,185.6400742115028,0.35913422034363696
D,6,185.6400742115028,0.7702073654816987
D#,6,185.6400742115028,0.42479145260400725
C#,0,208.84508348794066,0.10779822937432983
C#,3,208.84508348794066,0.10828879775693058
D,3,208.84508348794066,0.1716874015653005
F#,3,208.84508348794066,0.42385221080014396
G,3,208.84508348794066,0.7688772381355504
