octave,note_name,note_time,magnitude
3,B,0.0,0.10804741678575777
5,F,0.0,0.10776011876321379
4,C#,208.97676609105181,0.14332725067691968
4,D,208.97676609105181,0.13357514921676758
4,D#,208.97676609105181,0.11245551603147569
5,C,208.97676609105181,0.13804167930192657
5,C#,208.97676609105181,0.3174943037820446
5,D,208.97676609105181,0.32891088401112295
5,D#,208.97676609105181,0.15702912968416244
6,D,208.97676609105181,0.12354899326275898
5,C#,232.19640676783536,0.2243858775594123
5,D,232.19640676783536,0.3194195743360789
5,D#,232.19640676783536,0.12832552964095498
6,C#,232.19640676783536,0.10721661821412895
6,D,232.19640676783536,0.1398728691479774
5,C#,255.41604744461887,0.13784325431322655
5,D,255.41604744461887,0.20112132258085147
6,D,255.41604744461887,0.11844816548019355
5,C#,278.63568812140244,0.16193247393291058
5,D,278.63568812140244,0.1966912200511871
5,C#,301.85532879818595,0.27814583939999926
5,D,301.85532879818595,0.3487037170839459
5,D#,301.85532879818595,0.1581656633559304
5,C#,325.0749694749695,0.16449565805264788
5,D,325.0749694749695,0.223615756086646
5,C#,348.294610151753,0.16745813316387298
5,D,348.294610151753,0.21175861718664338
5,D,371.51425082853655,0.1412375451415584
5,D,394.7338915053201,0.11393622251394991
4,D#,1184.2016745159603,0.10449479094441155
4,E,1184.2016745159603,0.10567131306443182
4,E,1207.4213151927438,0.1149766625440196
4,D#,1230.6409558695273,0.10047005169759164
4,E,1230.6409558695273,0.10460479944386152
4,E,1277.0802372230944,0.10950470265425985
4,G#,1277.0802372230944,0.10408744313534352
5,C#,1277.0802372230944,0.151185654918705
5,D,1277.0802372230944,0.1304525322948371
4,D#,1300.299877899878,0.1389769177079897
4,E,1300.299877899878,0.21222919212099095
4,F,1300.299877899878,0.15018764166764814
5,C#,1300.299877899878,0.19550437118264993
5,D,1300.299877899878,0.1729379572919813
5,D#,1300.299877899878,0.11245593508335969
4,E,1323.5195185766615,0.1175580149071493
4,F,1323.5195185766615,0.17447631545228298
4,F,1346.739159253445,0.11905009195037777
5,D#,3250.749694749695,0.1326957441342638
5,E,3250.749694749695,0.11339818993193196
3,A#,3297.188976103262,0.10688974916924418
3,A#,3320.4086167800456,0.12507233837784767
3,A,3343.628257456829,0.1032459115636867
3,A#,3343.628257456829,0.12484363763324677
3,A#,3366.847898133613,0.10669423344793746
4,G,3459.7264608407468,0.10501888322833007
3,A#,3482.9461015175307,0.11515101065374418
4,G,3482.9461015175307,0.13219420549906674
3,A#,3506.1657421943137,0.11524570482952338
4,F#,3575.8246642246645,0.11916943022228488
5,C,5317.29771498343,0.12762388004341968
5,D,5340.517355660213,0.10567389554713272
4,D#,6269.302982731555,0.12222871525457067
5,D#,6269.302982731555,0.10815181542362412
5,E,6269.302982731555,0.11707940477126563
4,D#,6292.522623408338,0.14304327930051705
4,E,6292.522623408338,0.194500671086461
4,F,6292.522623408338,0.12603664540670767
5,D#,6292.522623408338,0.29124825217432176
5,E,6292.522623408338,0.36098950010295555
5,F,6292.522623408338,0.12002024981670063
4,E,6315.742264085122,0.16293792485882622
5,D#,6315.742264085122,0.20622710261831495
5,E,6315.742264085122,0.3317220934587918
5,F,6315.742264085122,0.12734491817633986
4,D#,6338.961904761904,0.12976432788119274
4,E,6338.961904761904,0.18194094328412352
5,C#,6338.961904761904,0.12837990422955345
5,D#,6338.961904761904,0.15991733599190994
5,E,6338.961904761904,0.23052930439287483
4,D#,6362.181545438689,0.17973251241626245
4,E,6362.181545438689,0.2263057007057659
5,D#,6362.181545438689,0.11813702543986347
5,E,6362.181545438689,0.16979667965790307
4,D#,6385.401186115472,0.12104962916550589
4,E,6385.401186115472,0.14461792609350457
4,F,6385.401186115472,0.1648517458523455
5,D#,6385.401186115472,0.13067380245046117
5,E,6385.401186115472,0.1417237033348237
4,D#,6408.620826792256,0.11444969965089975
