octave,note_name,note_time,magnitude
3,A#,9473.147121700806,0.10602612430948792
3,B,9473.147121700806,0.13339018879851094
4,C,9473.147121700806,0.1481428737019084
4,F#,9473.147121700806,0.1003712490804139
4,B,9473.147121700806,0.1351099049335486
5,C,9473.147121700806,0.2128107792409283
5,C#,9473.147121700806,0.14498262154035346
5,D#,9473.147121700806,0.10254841124097147
5,E,9473.147121700806,0.10247828461766287
3,F,11353.845447332582,0.12781867958169038
3,F#,11353.845447332582,0.13987294190653082
4,C#,11353.845447332582,0.1059661638458687
4,B,11353.845447332582,0.12805796304987882
5,C,11353.845447332582,0.12578707421687876
3,D,11377.063945179887,0.11532445857864482
3,F,11377.063945179887,0.10743110946077135
3,F#,11377.063945179887,0.11513059415315847
4,C#,11377.063945179887,0.1372489670235887
4,D,11377.063945179887,0.10142905372061548
4,E,11377.063945179887,0.10858314025297719
4,F#,11377.063945179887,0.10511100122628643
4,G,11377.063945179887,0.10294107803378029
4,B,11377.063945179887,0.11627134813235754
3,A,11400.282443027194,0.10916419061607834
3,A#,11400.282443027194,0.12827309941391718
3,B,11400.282443027194,0.10233433944625887
4,E,11400.282443027194,0.1188545364234262
4,F,11400.282443027194,0.13934420009533025
4,F#,11400.282443027194,0.1339963222079364
4,F#,11423.500940874499,0.10222154618188327
4,D,11446.719438721806,0.126027098998096
4,D#,11446.719438721806,0.12204957101822671
4,F,11446.719438721806,0.11986846036935218
4,F#,11446.719438721806,0.1059974496536884
4,D,11469.937936569111,0.10501552357510505
2,B,11493.156434416416,0.10857054590667815
3,D#,11493.156434416416,0.10540965088798432
3,E,11493.156434416416,0.107944892020496
3,G#,11493.156434416416,0.1829759997062184
3,A,11493.156434416416,0.19630934882240697
3,A#,11493.156434416416,0.11655188327874941
4,B,11493.156434416416,0.11593382918485472
5,C,11493.156434416416,0.16293095456067475
5,C#,11493.156434416416,0.1548498889141689
2,B,11516.374932263723,0.10675171208039999
3,G#,11516.374932263723,0.24949783310260992
3,A,11516.374932263723,0.28008726287045704
3,B,11516.374932263723,0.10394201512319139
4,C#,11516.374932263723,0.10745685532475743
4,D,11516.374932263723,0.1358212966136351
4,B,11516.374932263723,0.11918410247171406
5,C,11516.374932263723,0.11072503606835696
5,E,11516.374932263723,0.10187525349076755
3,C,11539.59343011103,0.11104392365578361
3,C#,11539.59343011103,0.12138952954623652
3,D,11539.59343011103,0.12179189188391921
3,G#,11539.59343011103,0.1828632275607857
3,A,11539.59343011103,0.306298698067777
3,A#,11539.59343011103,0.2062517448768021
4,C#,11539.59343011103,0.13321765614704006
4,D,11539.59343011103,0.11311463558721441
3,G#,11562.811927958333,0.21184579794030856
3,A,11562.811927958333,0.25382114209627815
4,D,11562.811927958333,0.10653465972802198
4,B,11562.811927958333,0.11598496614067967
5,C#,11562.811927958333,0.15810167440164805
5,D,11562.811927958333,0.18917338190027622
5,D#,11562.811927958333,0.11852288879393597
3,G#,11586.03042580564,0.1618513734930516
3,A,11586.03042580564,0.22401770152942196
3,A#,11586.03042580564,0.10367864331896863
4,C#,11586.03042580564,0.16184251707281322
4,D,11586.03042580564,0.1976088516355411
4,F#,11586.03042580564,0.1003229552529829
5,C#,11586.03042580564,0.15503683801384713
5,D,11586.03042580564,0.26944887184790256
5,D#,11586.03042580564,0.10355463480006322
3,G#,11609.248923652947,0.12492761218986452
3,A,11609.248923652947,0.14006537050735998
4,C#,11609.248923652947,0.1244892407813575
4,D,11609.248923652947,0.1859155040882466
4,E,11609.248923652947,0.1583318619653826
4,F,11609.248923652947,0.1940504748780951
4,F#,11609.248923652947,0.12765555483898489
4,G,11609.248923652947,0.10402286946465632
4,G#,11609.248923652947,0.2596522037559735
4,A,11609.248923652947,0.21351196293811417
4,A#,11609.248923652947,0.12484207706709158
4,B,11609.248923652947,0.1165883398822246
5,D,11609.248923652947,0.15043120765532966
5,D#,11609.248923652947,0.150070475935665
5,E,11609.248923652947,0.151160812318109
5,F,11609.248923652947,0.1146703006606734
5,F#,11609.248923652947,0.12621696432717583
3,A,11632.467421500252,0.12250387972156952
4,D,11632.467421500252,0.13539161167748281
4,E,11632.467421500252,0.1516557985635395
4,F,11632.467421500252,0.14467563900911234
4,F#,11632.467421500252,0.1451806334165846
4,A,11632.467421500252,0.12406208533901374
3,G#,11655.685919347558,0.13344085889938095
